B_eff,E_I,J_max,J_rms,Q,R_jet,S_I,W_factor,c_I,center_type,kappa,local_zero_count,m0,nquad,quad_drift_rel,status,tail_drift_rel
-0.9669655467529149,3.2290299257902157,1.720559190947739,0.7998786005439829,3.3609612395013637,4,1.9554554346729072,50.0,0.5,gap_midpoint,1.0,16,181.06178125231173,257,9.764645922765261e-15,healthy,0.000185124717602994
-1.1334669711980692,3.950286409748921,1.8830151603511947,0.9028917329114369,3.3602757558577574,4,2.580130854411324,50.0,0.5,random,1.0,16,180.93770889242606,257,7.756945269596775e-15,healthy,0.00016608427322469007
-1.2169911175547243,4.434539225212504,2.0116317722577977,0.939555805496591,3.4002790679831536,4,2.300779691955797,50.0,0.5,gap_midpoint,1.0,16,188.3225406197594,257,6.008595535588459e-15,healthy,0.00016428420282008302
-1.2531507478492052,4.687510807186451,2.0711954108940343,0.9646556532086057,3.4308701902879064,4,2.365874769606385,50.0,0.5,gap_midpoint,1.0,16,194.17256164168748,257,5.684328780672592e-15,healthy,0.00016076578560548482
-1.3547316459991494,5.484294179066385,2.2371586990984342,1.0448480586740323,3.512243473757257,4,2.5519315591555625,50.0,0.5,gap_midpoint,1.0,16,210.6336861561108,257,3.562887874977035e-15,healthy,0.00016563905027870392
-1.6512552146934534,6.775649325354614,2.470177580649657,1.1707345841513275,3.1858388074078277,4,2.90773765726004,50.0,0.5,gap_midpoint,1.0,16,151.97497571172016,257,6.1609424752396155e-15,healthy,0.00010639997655663944
-1.8379667865635205,10.494000840066532,3.0767871323626697,1.4551798736896369,3.59313134073397,4,3.567401712598385,50.0,0.5,gap_midpoint,1.0,16,228.3794287926023,257,5.924574461785024e-15,healthy,0.00012789097521101535
-1.924145005908724,11.769279537726895,3.263486934668595,1.538208377563372,3.601478823003405,4,3.8207522809851824,50.0,0.5,gap_midpoint,1.0,16,230.29380100301228,257,3.3204964111467904e-15,healthy,0.00011584965781561574
-1.9693242651519804,10.754145997412426,3.1024974897786413,1.4812169034421094,3.340583108239281,4,3.6334508971600386,50.0,0.5,gap_midpoint,1.0,16,177.4094210369052,257,1.2223230570539683e-14,healthy,9.730035579940252e-05
-2.145100441051542,12.839960574525994,3.386536776818033,1.6209133361220371,3.28691679293442,4,4.022429716408449,50.0,0.5,gap_midpoint,1.0,16,168.13947769687167,257,5.533838921357676e-15,healthy,8.508334126555208e-05
-2.295692231683746,14.970918626225858,3.637901581356306,1.7638841894876565,3.2503970447130897,4,4.329580447385155,50.0,0.5,gap_midpoint,1.0,16,162.10983691238903,257,1.3645190494401057e-14,healthy,7.702080724328007e-05
-2.5146894193193394,25.275875390669412,4.743699899934837,2.2795677107537515,3.612475829108022,4,5.672072280521853,50.0,0.5,gap_midpoint,1.0,16,232.8403197160443,257,1.6023554204289448e-14,healthy,8.119950012813027e-05
-2.621599845875753,26.231646175501922,4.816696778638548,2.3336901939770707,3.4770104200697345,4,5.728964818208718,50.0,0.5,gap_midpoint,1.0,16,203.34163315862253,257,9.751404207049984e-15,healthy,6.91609057417129e-05
-2.6380548617013124,27.31081012574515,4.90563019906156,2.388183873249678,3.5032190236666705,4,5.863507251369592,50.0,0.5,gap_midpoint,1.0,16,208.74138430233126,257,7.674986794025414e-15,healthy,7.06289595834432e-05
-2.6919322581319043,29.62373129251192,5.11208246072084,2.484844263917904,3.5211561694509537,4,6.1219380458951855,50.0,0.5,gap_midpoint,1.0,15,212.519390977539,257,5.2768302656976695e-15,healthy,8.309743006407866e-05
-2.7425287103289433,32.41747790388908,5.353423571156191,2.5948345848031136,3.5552560740817034,4,6.464243083120734,50.0,0.5,gap_midpoint,1.0,16,219.8912575941677,257,9.205773191363543e-15,healthy,6.8290752301981e-05
-2.742543769318356,27.09819282187435,4.876916898343266,2.385111311487344,3.3303191597627295,4,5.870001850081245,50.0,0.5,gap_midpoint,1.0,16,175.5978129105381,257,6.948574992219813e-15,healthy,6.070639965968655e-05
-2.787869258760436,33.77858111655566,5.451607980190178,2.6585015216944976,3.5344260474648377,4,6.553315218913462,50.0,0.5,gap_midpoint,1.0,17,215.35829164587756,257,7.152003493717738e-15,healthy,5.276686360212832e-05
-2.901106719847516,31.27345926103046,5.223617842701705,2.5721767420455723,3.2762815842992565,4,6.326570179567007,50.0,0.5,gap_midpoint,1.0,15,166.36075458303748,257,4.8848669702101855e-15,healthy,6.673209852907368e-05
-2.9053908208199113,36.23529806263138,5.635311256436441,2.7605321135282934,3.4405994623397427,4,6.808879651834462,50.0,0.5,gap_midpoint,1.0,16,196.0709392602438,257,1.0785022493607594e-14,healthy,5.794218148545534e-05
-2.932860916184855,35.895218113296224,5.613057286071275,2.743693095651826,3.3900921524507943,4,6.840417606779864,50.0,0.5,gap_midpoint,1.0,15,186.41385313060465,257,1.6231829027595742e-14,healthy,6.690970643275046e-05
-3.0767170523541854,38.54228916266836,5.726775015971374,2.9140798964662196,3.2769076609133894,4,8.579599856113449,50.0,0.5,uniform,1.0,15,166.4649417721695,257,9.217702829757243e-15,healthy,5.931172849257062e-05
-3.1963855790966273,47.68503551099458,6.4336263630685835,3.183132207166913,3.3503293294607657,4,7.838116525347219,50.0,0.5,gap_midpoint,1.0,16,179.1469458981785,257,9.536479233230612e-15,healthy,4.662906304603042e-05
-3.5161189358561615,60.8793683080624,7.250138037454145,3.5901204881718405,3.217446342680875,4,8.91449764847552,50.0,0.5,gap_midpoint,1.0,15,156.85525055591597,257,1.365544722199789e-14,healthy,4.471047249984965e-05
-3.597852970376965,96.8555120067445,8.674877462324961,4.9543706350056285,3.564761143256644,4,16.156175567750886,50.0,0.5,random,1.0,15,221.99130394052665,257,8.803332564622094e-15,healthy,4.541381428262988e-05
-3.778212945159068,76.38930225360397,8.106880977552835,4.004208619379307,3.1505935555776987,4,9.96642994472709,50.0,0.5,gap_midpoint,1.0,16,146.71187391466256,257,7.813344021090664e-15,healthy,3.143103037712723e-05
-3.9017453143237626,108.1912740742815,9.64946059813122,4.762040969459795,3.3216543494521606,4,11.868669010515948,50.0,0.5,gap_midpoint,1.0,15,174.08286402147866,257,1.6812718207727018e-14,healthy,3.7184102983969065e-05
-4.176032851375995,180.43678385472447,12.465885412548273,6.124628196170817,3.4697922996953157,4,15.297613952989566,50.0,0.5,gap_midpoint,1.0,16,201.87917322892218,257,5.670581782915955e-15,healthy,2.7205702860538506e-05
-4.239764052024812,209.56343969716204,13.439770690849599,6.595414218410027,3.527853507613964,4,16.457081794443358,50.0,0.5,gap_midpoint,1.0,16,213.94748207160205,257,8.951145415046685e-15,healthy,2.483541759862019e-05
-4.250056028276294,201.33781880034797,13.173613818622702,6.4641631124370305,3.4841186644196016,4,16.137981144902653,50.0,0.5,gap_midpoint,1.0,16,204.79218450263392,257,1.355177145345169e-14,healthy,2.531810590032214e-05
-4.260113397598159,214.96875610584084,13.606549658317507,6.6919280012015205,3.527697809485139,4,17.99086893726951,50.0,0.5,random,1.0,16,213.91417344208958,257,1.1502549325017768e-14,healthy,2.483358082524875e-05
-4.313416854681963,156.37195787135636,11.629907944978878,5.7043106009356945,3.226133356850416,4,14.172619371252548,50.0,0.5,gap_midpoint,1.0,16,158.22378999450729,257,9.814881965629915e-15,healthy,2.3157622269927625e-05
