gamma,index
14.134725141734695,1
21.022039638771556,2
25.01085758014569,3
30.424876125859512,4
32.93506158773919,5
37.586178158825675,6
40.9187190121475,7
43.327073280915,8
48.00515088116716,9
49.7738324776723,10
52.970321477714464,11
56.44624769706339,12
59.34704400260235,13
60.83177852460981,14
65.1125440480816,15
67.07981052949417,16
69.54640171117398,17
72.0671576744819,18
75.70469069908393,19
77.1448400688748,20
79.33737502024937,21
82.91038085408603,22
84.73549298051705,23
87.42527461312523,24
88.80911120763446,25
92.49189927055849,26
94.65134404051989,27
95.87063422824531,28
98.83119421819369,29
101.31785100573138,30
103.72553804047834,31
105.44662305232609,32
107.1686111842764,33
111.02953554316967,34
111.87465917699264,35
114.32022091545271,36
116.22668032085755,37
118.79078286597621,38
121.37012500242065,39
122.94682929355258,40
124.25681855434577,41
127.5166838795965,42
129.57870419995606,43
131.08768853093267,44
133.4977372029976,45
134.75650975337388,46
138.11604205453344,47
139.7362089521214,48
141.12370740402113,49
143.11184580762063,50
146.0009824867655,51
147.42276534255961,52
150.05352042078488,53
150.92525761224147,54
153.0246938111989,55
156.11290929423788,56
157.59759181759406,57
158.8499881714205,58
161.18896413759603,59
163.030709687182,60
165.5370691879004,61
167.1844399781745,62
169.09451541556882,63
169.9119764794117,64
173.41153651959155,65
174.75419152336573,66
176.44143429771043,67
178.37740777609997,68
179.916484020257,69
182.20707848436646,70
184.8744678483875,71
185.59878367770747,72
187.22892258350186,73
189.41615865601693,74
192.0266563607138,75
193.0797266038457,76
195.26539667952923,77
196.87648184095832,78
198.01530967625192,79
201.2647519437038,80
202.49359451414054,81
204.18967180310455,82
205.3946972021633,83
207.90625888780622,84
209.57650971685626,85
211.6908625953653,86
213.34791935971268,87
214.54704478349143,88
216.1695385082637,89
219.0675963490214,90
220.714918839314,91
221.43070555469333,92
224.00700025460432,93
224.9833246695823,94
227.4214442796793,95
229.33741330552536,96
231.25018870049917,97
231.98723525318024,98
233.6934041789083,99
236.5242296658162,100
237.7698204809252,101
239.55547757332764,102
241.04915779621658,103
242.8232719342226,104
244.07089849707816,105
247.1369900748975,106
248.10199006014847,107
249.5736896447072,108
251.014947795016,109
253.06998674799948,110
255.30625645491403,111
256.38071369443446,112
258.6104394915314,113
259.874406989678,114
260.8050845045969,115
263.57389390487015,116
265.55785183887633,117
266.6149737815011,118
267.92191508282406,119
269.9704490239976,120
271.494055641645,121
273.4596091884033,122
275.58749264934386,123
276.4520495031329,124
278.25074352984194,125
279.22925092774517,126
282.4651147650521,127
283.2111857332339,128
284.83596398090475,129
286.6674453630029,130
287.9119205014222,131
289.5798549292188,132
291.8462913290674,133
293.5584341393563,134
294.9653696192655,135
295.57325487895827,136
297.97927706194344,137
299.8403260537213,138
301.64932546219416,139
302.6967495896069,140
304.8643713408573,141
305.7289126020368,142
307.2194961281701,143
310.1094631467019,144
311.165141530356,145
312.4278011806009,146
313.9852857311589,147
315.47561608947575,148
317.7348059423702,149
318.8531042563166,150
321.1601343091136,151
322.14455867248296,152
323.4669695575121,153
324.8628660517396,154
327.44390126190547,155
329.03307168048093,156
329.9532397282339,157
331.4744675826634,158
333.64537852486984,159
334.2113548332444,160
336.84185042839067,161
338.3399928508066,162
339.85821672536355,163
341.04226111104657,164
342.0548775103636,165
344.6617029402523,166
346.34787056600993,167
347.2726775844205,168
349.31626087069617,169
350.4084193491921,170
351.87864902535927,171
353.4889004887188,172
356.0175749772649,173
357.1513022520396,174
357.95268510163226,175
359.74375495311443,176
361.28936169580464,177
363.33133057897385,178
364.736024114089,179
366.2127102883313,180
367.9935754817403,181
368.96843809573437,182
370.050919212106,183
373.06192837211285,184
373.86487391090856,185
375.82591276673935,186
376.32409223066804,187
378.4366802499655,188
379.87297534653237,189
381.4844686171865,190
383.44352944953647,191
384.95611681486366,192
385.86130084597426,193
387.222890222388,194
388.84612835423223,195
391.45608356363806,196
392.2450833395191,197
393.427743844434,198
395.5828700109937,199
396.3818542225922,200
397.9187362096142,201
399.9851198761949,202
401.8392286005332,203
402.86191776388614,204
404.236441800208,205
405.13438745990993,206
407.5814603868962,207
408.9472455023511,208
410.51386919336665,209
411.9722678042788,210
413.26273607018504,211
415.01880975515513,212
415.4552149962946,213
418.3877057895348,214
419.8613648181523,215
420.6438276250418,216
422.07671005882673,217
423.7165796274818,218
425.06988249446135,219
427.2088250840746,220
428.12791407661666,221
430.3287454309386,222
431.3013069307036,223
432.1386417345886,224
433.88921848092724,225
436.16100643264696,226
437.5816981676686,227
438.6217386562722,228
439.91844221437066,229
441.68319920118904,230
442.90454630260945,231
444.31933627755916,232
446.8606226964295,233
447.4417041944933,234
449.1485456850233,235
450.1269457803135,236
451.4033084453888,237
453.9867378066779,238
454.9746837686168,239
456.32842668924604,240
457.903893064103,241
459.513415281106,242
460.08794442217584,243
462.06536727488253,244
464.05728691054827,245
465.6715392113711,246
466.5702869308262,247
467.43904621026167,248
469.53600455911203,249
470.77365547810166,250
472.7991746619088,251
473.8352323451397,252
475.6003393693758,253
476.7690152374845,254
478.07526376667096,255
478.9421815346348,256
481.8303393762866,257
482.8347827909824,258
483.8514272124825,259
485.539148129356,260
486.52871826165125,261
488.38056709001745,262
489.66176157795616,263
491.398821593663,264
493.3144415817853,265
493.9579978053695,266
495.3588288221313,267
496.4296962157591,268
498.58078242968656,269
500.3090849416905,270
501.6044469651455,271
502.27627032711825,272
504.49977331342774,273
505.41523174224443,274
506.46415270952355,275
508.8007003364678,276
510.26422794367284,277
511.5622897003746,278
512.6231445314074,279
513.6689855554737,280
515.4350571672994,281
517.5896685724674,282
518.2342231475501,283
520.1063104117233,284
521.525193449492,285
522.4566961777302,286
523.9605308920159,287
525.0773856872796,288
527.9036416012724,289
528.4062138522927,290
529.8062263187069,291
530.866917883961,292
532.6881830282937,293
533.7796307537687,294
535.6643140758732,295
537.0697590831223,296
538.4285261762479,297
540.2131663762282,298
540.6313902472951,299
541.8474371212013,300
544.3238901010053,301
545.6368332489349,302
547.0109120581222,303
547.9316133644893,304
549.4975675626614,305
550.9700100394839,306
552.0495722005649,307
553.7649721191589,308
555.7920205616825,309
556.8994764068553,310
557.5646591720586,311
559.3162370286822,312
560.2408074972957,313
562.5592076160458,314
564.1608791107861,315
564.5060559381499,316
566.698787682808,317
567.7317579011769,318
568.9239551796294,319
570.0511147824636,320
