center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status,tail_edge
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,1.0,200.0,320,12,64,26095.66014252277,163.33048823982693,-6.060797995247169,160.6403262282956,161.55697294647803,1.3012519011337574e-07,2.3978406807963685e-14,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.125,50.0,320,12,16,33341504.466377806,7242.355472998595,-10.323692650814305,4820493.793700817,4825629.953576158,2.913470581583636e-08,9.37984429799667e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.125,200.0,320,12,64,33341505.559722222,7242.35556828212,-10.323692670357744,4820493.51129431,4825629.671760033,4.5221116121323214e-10,9.37760936408716e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,1.0,500.0,320,12,160,26095.65650973182,163.33047699567575,-6.060797912280945,160.64031498401746,161.5562181141433,6.657741222348546e-09,2.397841014601112e-14,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.125,100.0,320,12,32,33341505.43777276,7242.355557654373,-10.323692668177907,4820493.709948492,4825629.869982079,3.6575872035615985e-09,9.379844024717664e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.25,100.0,320,12,32,26158499.087864324,5449.275449791926,-10.179091545787914,962396.565168525,964449.7241158901,8.307069895687153e-09,2.3711636994552123e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.125,500.0,320,12,160,33341505.57585229,7242.355569687762,-10.323692670646066,4820493.725611887,4825629.885613503,2.313598015989853e-11,9.379843985872255e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.25,200.0,320,12,64,26158499.305164807,5449.275471047198,-10.179091550738733,962396.506315524,964449.6655061399,1.02706520325936e-09,2.3711636797577897e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.5,50.0,320,12,16,1118948.7955051777,1144.2760288067934,-8.300701908206921,4913.886749870866,6002.370404385454,6.38206681015514e-07,5.580700285733395e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,1.0,200.0,320,12,64,26959.939525279413,171.03394788046262,-6.0802167113368,160.64032622828555,163.47568590646281,1.280009995355916e-07,1.4681490432883977e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.5,200.0,320,12,64,1118949.5992912247,1144.2764098371028,-8.300702336320757,4913.867141967058,6002.354251897983,9.907778095111252e-09,5.576534683846543e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,1.0,100.0,320,12,32,26959.96743234877,171.03403287151934,-6.080217328250287,160.6404112249585,163.47551896481204,1.0351299358124282e-06,1.4681475235633727e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,1.0,50.0,320,12,16,26960.18958509141,171.03470945490133,-6.080222239134533,160.64108783039683,163.4762624099059,8.240028948600137e-06,1.4667860368069825e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.25,500.0,320,12,160,26158499.33390705,5449.275473858476,-10.179091551393576,962396.4704783284,964449.6297546024,5.254655361751042e-11,2.3711636771524196e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,1.0,500.0,320,12,160,26959.935833438245,171.0339366364295,-6.080216629724937,160.64031498400738,163.47513868975065,6.549056592296996e-09,1.4681492443338716e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.5,500.0,320,12,160,1118949.6111515537,1144.2764154594631,-8.300702342637823,4913.8937131941075,6002.376250737934,5.069053324945253e-10,5.580696217741487e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.5,100.0,320,12,32,1118949.5096262305,1144.276367331685,-8.300702288563258,4913.83051876634,6002.323836170029,8.013318413101998e-08,5.580696724093188e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.125,50.0,320,12,16,84141294.55296996,17277.581094498233,-10.875384841726035,38685111763.8351,38685123285.14532,1.7095983070805225e-08,5.592719639052652e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.125,100.0,320,12,32,84141295.99144813,17277.581179165678,-10.875384851914841,38685111763.57103,38685123284.88125,2.1461781388814646e-09,5.596261481085868e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.25,100.0,320,12,32,29677600.25155833,5902.580914202084,-10.254314758370612,3939938274.2630544,3940473395.8009853,7.786185222455325e-09,1.6506579713163263e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.25,50.0,320,12,16,29677598.4109346,5902.58074488212,-10.254314721407766,3939938274.523401,3940473396.06121,6.20206389104625e-08,1.654423833555129e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.25,200.0,320,12,64,29677600.482633624,5902.580935458704,-10.254314763010997,3939938274.4745636,3940473396.0123863,9.626593270632892e-10,1.6544237180650562e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.125,200.0,320,12,64,84141296.17203034,17277.581189794408,-10.875384853193912,38685111763.43569,38685123284.7459,2.653437268388049e-10,5.596261469075293e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.25,500.0,320,12,160,29677600.513197687,5902.5809382700345,-10.254314763624775,3939938274.563952,3940473396.1017413,4.925161661717609e-11,1.6544237163612154e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.125,500.0,320,12,160,84141296.19591549,17277.58119120009,-10.875384853363093,38685111763.7532,38685123285.063416,1.3575538577399863e-11,5.592719529849037e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.5,100.0,320,12,32,716834.4591595132,1144.2572135156706,-8.035313542719795,33070215.68873384,33244106.953648712,9.263152087049278e-08,7.207399025896951e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.5,50.0,320,12,16,716833.9303112889,1144.2568749906804,-8.03531310303494,33070215.693299375,33244106.958201136,7.377550249740937e-07,7.20902836400311e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.5,200.0,320,12,64,716834.5255609856,1144.2572560211038,-8.035313597926011,33070215.681959156,33244106.946895026,1.14530593061504e-08,7.207398358264618e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,0.5,500.0,320,12,160,716834.5343441366,1144.2572616434645,-8.035313605228328,33070215.70955847,33244106.974414345,5.859652142490858e-10,7.205774250515678e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,1.0,100.0,320,12,32,30271.343972767965,196.7787322778446,-6.1492602837817785,26236.324691839935,26381.655703603374,9.750752196749762e-07,1.2582737702202978e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,1.0,50.0,320,12,16,30271.578944877023,196.77940887464732,-6.149264909850684,26236.32863587573,26381.659638763445,7.762135879518533e-06,1.259465783656236e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,1.0,200.0,320,12,64,30271.31445593059,196.7786472912741,-6.14925970265953,26236.336073143557,26381.667047999214,1.2057416578690946e-07,1.258274997133067e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.125,50.0,320,12,16,3332028483.81927,156998.29277777017,-13.067886664716173,1.644669023406326e+16,1.6450308179049834e+16,6.516107242218292e-10,3.803502296653855e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.125,100.0,320,12,32,3332028481.6480846,156998.2926931017,-13.067886664327828,1.644669023406325e+16,1.6450308179049826e+16,8.175454889204886e-11,3.803359191964708e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.125,200.0,320,12,64,3332028481.375676,156998.29268247684,-13.067886664279104,1.6446690234063258e+16,1.6450308179049832e+16,1.0106228173176295e-11,3.803502299443211e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.2,1.0,500.0,320,12,160,30271.310551153518,196.77863604745065,-6.149259625782931,26236.344486585676,26381.67543377855,6.169060515410929e-09,1.2582751594413143e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.125,500.0,320,12,160,3332028481.33965,156998.29268107135,-13.067886664272661,1.6446690234063264e+16,1.6450308179049838e+16,5.167599820693029e-13,3.803502299484335e-12,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.25,200.0,320,12,64,98453197.80313501,19333.982321428248,-10.969003116003174,42443303606451.26,42520786067904.414,1.3198064825833166e-10,2.336886296908356e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.25,50.0,320,12,16,98453198.74610558,19333.982512007777,-10.969003121711353,42443303606450.85,42520786067904.01,8.510186226543223e-09,2.338399801905869e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.25,100.0,320,12,32,98453197.90825053,19333.982342677788,-10.96900311663948,42443303606451.47,42520786067904.625,1.067669920400737e-09,2.3368862944133324e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.5,50.0,320,12,16,1820114.5285774807,2150.445066225992,-8.59065031456019,720825999361.542,720868931512.3438,2.0417522824800653e-07,2.7682077416338044e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.5,100.0,320,12,32,1820114.1569551814,2150.4447276174255,-8.590650192876529,720825999361.6384,720868931512.4401,2.562424549506248e-08,2.768208306833367e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.5,200.0,320,12,64,1820114.1103161294,2150.4446851201533,-8.59065017760508,720825999361.7831,720868931512.5848,3.167838656736755e-09,2.7707667958606715e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.25,500.0,320,12,160,98453197.78923392,19333.982318617247,-10.969003115919024,42443303606450.73,42520786067903.88,6.752148412721499e-12,2.3368862972383123e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,1.0,100.0,320,12,32,42517.25869594893,236.23689160885297,-6.351718618295163,654420539.2671175,654608268.8541745,8.171168655551587e-07,7.016309878179939e-15,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,1.0,50.0,320,12,16,42517.53530224143,236.2375683416222,-6.35172249555189,654420539.2600425,654608268.8470984,6.50569913175651e-06,6.845135836272056e-15,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,0.5,500.0,320,12,160,1820114.1041477534,2150.4446794982,-8.590650175585312,720825999361.546,720868931512.3477,1.620688790787752e-10,2.7669291780967283e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.125,50.0,320,12,16,1822269266.265295,156937.70646934133,-12.708215593038855,1.4134972458477778e+16,1.4138422648989462e+16,1.8789239526806353e-11,4.802731058267205e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,1.0,200.0,320,12,64,42517.22395437977,236.23680662790912,-6.351718131312474,654420539.2600338,654608268.8470894,1.0103767106958837e-07,6.8451859622729365e-15,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.5,1.0,500.0,320,12,160,42517.21935860561,236.2367953844025,-6.35171806689214,654420539.2589793,654608268.8460348,5.169439990386253e-09,7.187446037292402e-15,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.125,100.0,320,12,32,1822269266.231056,156937.70638467302,-12.708215593027655,1.4134972458477782e+16,1.4138422648989466e+16,2.3711423932393483e-12,4.802992730530177e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.125,200.0,320,12,64,1822269266.226735,156937.70637404808,-12.708215593026242,1.4134972458477774e+16,1.4138422648989458e+16,2.9359617780950804e-13,4.803123566627932e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.25,50.0,320,12,16,57567444.6350312,19331.05136843361,-10.649187751562595,2720592629512219.0,2721258361522316.5,1.8714965317788e-09,1.4171874060665623e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.125,500.0,320,12,160,1822269266.2261631,156937.70637264263,-12.708215593026054,1.4134972458477774e+16,1.4138422648989458e+16,1.504614993231017e-14,4.802992730543073e-12,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.25,100.0,320,12,32,57567444.52729393,19331.051199103866,-10.649187750447227,2720592629512219.0,2721258361522316.5,2.3529025439435244e-10,1.4167991381958874e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.25,200.0,320,12,64,57567444.51374887,19331.05117785432,-10.649187750307,2720592629512219.0,2721258361522316.5,2.9101263971514386e-11,1.4167991385292464e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.25,500.0,320,12,160,57567444.51195661,19331.051175043314,-10.649187750288444,2720592629512219.0,2721258361522316.5,1.4890174558609258e-12,1.4169285620810357e-12,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.5,200.0,320,12,64,1273355.0513629047,2150.376291445925,-8.377741127114604,73795200441520.84,73810152697116.81,2.5365298184198896e-09,1.047171481965788e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.5,100.0,320,12,32,1273355.0774861386,2150.376333943192,-8.377741139341229,73795200441520.84,73810152697116.81,2.0515278338214523e-08,1.046988612314364e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.5,50.0,320,12,16,1273355.2855425137,2150.3766725522137,-8.377741236719181,73795200441520.84,73810152697116.81,1.6339224214462467e-07,1.0468055931060136e-12,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,0.5,500.0,320,12,160,1273355.047907496,2150.3762858239725,-8.377741125497346,73795200441520.84,73810152697116.81,1.2977466206181177e-10,1.0469886366347622e-12,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,1.0,50.0,320,12,16,28816.935718627552,236.22569779097367,-6.119915434658979,265154492356.18353,265366506661.82382,6.8708908502455695e-06,2.8859486082114694e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,1.0,100.0,320,12,32,28816.73772060759,236.22502105611738,-6.119911339755096,265154492356.18335,265366506661.82364,8.628416909587967e-07,2.884705984000917e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,1.0,200.0,320,12,64,28816.712856324888,236.22493607520624,-6.11991082552146,265154492356.1834,265366506661.8237,1.0668709642940692e-07,2.884708473047654e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,1.0,1.0,500.0,320,12,160,28816.709567304915,236.2249248317021,-6.119910757499167,265154492356.17694,265366506661.8172,5.458423397769047e-09,2.8872337115324855e-13,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.125,50.0,320,12,16,6644584.408089916,2701.739678332339,-9.297471688122421,2515.6505290647942,2546.5765758114194,6.444578825725659e-08,8.732133243412799e-14,healthy,False
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.125,100.0,320,12,32,6644584.836305424,2701.7397614311644,-9.297471726264313,2515.6506121449947,2546.5828147175625,8.297354679792092e-09,8.718116416328655e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.125,200.0,320,12,62,6644584.891437901,2701.739772128588,-9.297471731175058,2515.6506228415324,2546.5770502748355,5.042778546169868e-10,8.704100079772716e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.25,50.0,320,12,16,9578730.987379162,3168.935075360014,-9.513934685248755,3057.7141792275875,3067.0756408805855,1.0736495109210258e-07,4.3752680718266424e-14,healthy,False
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.125,500.0,320,12,109,6644584.895039113,2701.7397728267415,-9.297471731495824,2515.650623540223,2546.5679068135073,3.3614785968278836e-11,8.718116339266333e-14,reject_tail_edge,True
