rank,target_id,status,center_type,m0,Q,c_I,kappa,W_factor,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,Q_minus_5,jet_ratio,tail_drift_rel,quad_drift_rel,tail_edge
11,T011_gap_midpoint_1178.403764,healthy,gap_midpoint,1178.403763961795,5.234038992863128,0.2,0.5,50.0,16,0.24902104423154686,0.5047928845669325,0.8399177962594525,0.49776815974875516,0.22263858833233238,2.545746944905e-04,1.955293163544e+03,0.0011999935570353797,3.789597677752542e-15,False
12,T012_large_gap_midpoint_1178.403764,healthy,large_gap_midpoint,1178.403763961795,5.234038992863128,0.2,0.5,50.0,16,0.24902104423154686,0.5047928845669325,0.8399177962594525,0.49776815974875516,0.22263858833233238,2.545746944905e-04,1.955293163544e+03,0.0011999935570353797,3.789597677752542e-15,False
13,T013_gap_midpoint_1178.403764,healthy,gap_midpoint,1178.403763961795,5.234038992863128,0.5,0.5,25.0,8,0.25298180849778806,0.5270903016376554,0.8303840029143279,0.4950394953074891,0.2224443377472202,2.545746944905e-04,1.944574641632e+03,0.010771132570469234,2.5234155884574074e-14,False
14,T014_large_gap_midpoint_1178.403764,healthy,large_gap_midpoint,1178.403763961795,5.234038992863128,0.5,0.5,25.0,8,0.25298180849778806,0.5270903016376554,0.8303840029143279,0.4950394953074891,0.2224443377472202,2.545746944905e-04,1.944574641632e+03,0.010771132570469234,2.5234155884574074e-14,False
15,T015_gap_midpoint_1178.403764,healthy,gap_midpoint,1178.403763961795,5.234038992863128,0.5,0.5,50.0,16,0.2557363789384256,0.5298429189904579,0.8238411858982051,0.4977681597487552,0.22365958829476645,2.545746944905e-04,1.955293163544e+03,0.0011842050532201854,2.539648336704157e-14,False
16,T016_large_gap_midpoint_1178.403764,healthy,large_gap_midpoint,1178.403763961795,5.234038992863128,0.5,0.5,50.0,16,0.2557363789384256,0.5298429189904579,0.8238411858982051,0.4977681597487552,0.22365958829476645,2.545746944905e-04,1.955293163544e+03,0.0011842050532201854,2.539648336704157e-14,False
17,T017_gap_midpoint_1069.262521,healthy,gap_midpoint,1069.262521037936,5.136847390741746,0.2,0.5,25.0,8,0.2760471202252749,0.531553824141856,0.786575775280917,0.5239598079268424,0.23435817268226364,2.795868120452e-04,1.874050510802e+03,0.00959940784270103,2.4131163340210882e-15,False
18,T018_large_gap_midpoint_1069.262521,healthy,large_gap_midpoint,1069.262521037936,5.136847390741746,0.2,0.5,25.0,8,0.2760471202252749,0.531553824141856,0.786575775280917,0.5239598079268424,0.23435817268226364,2.795868120452e-04,1.874050510802e+03,0.00959940784270103,2.4131163340210882e-15,False
19,T019_gap_midpoint_1069.262521,healthy,gap_midpoint,1069.262521037936,5.136847390741746,0.2,0.5,50.0,16,0.27872269303069247,0.5341038423093734,0.7806814058891307,0.5264995214145335,0.23549383349603992,2.795868120452e-04,1.883134320833e+03,0.0010817816486878035,2.589114500005514e-15,False
20,T020_large_gap_midpoint_1069.262521,healthy,large_gap_midpoint,1069.262521037936,5.136847390741746,0.2,0.5,50.0,16,0.27872269303069247,0.5341038423093734,0.7806814058891307,0.5264995214145335,0.23549383349603992,2.795868120452e-04,1.883134320833e+03,0.0010817816486878035,2.589114500005514e-15,False
21,T021_gap_midpoint_2447.693418,healthy,gap_midpoint,2447.693417796073,5.965024331551558,0.2,0.5,25.0,8,0.2531837656074012,0.510265217795168,0.7691525870063581,0.5022004179594833,0.2246175543693585,1.324155236830e-04,3.792609839022e+03,0.01548719375011055,1.7540192941860567e-15,False
22,T022_large_gap_midpoint_2447.693418,healthy,large_gap_midpoint,2447.693417796073,5.965024331551558,0.2,0.5,25.0,8,0.2531837656074012,0.510265217795168,0.7691525870063581,0.5022004179594833,0.2246175543693585,1.324155236830e-04,3.792609839022e+03,0.01548719375011055,1.7540192941860567e-15,False
23,T023_gap_midpoint_1069.262521,healthy,gap_midpoint,1069.262521037936,5.136847390741746,0.5,0.5,25.0,8,0.28420877923110943,0.5596733218179593,0.7687703331309648,0.523959807926842,0.23564656050368876,2.795868120452e-04,1.874050510802e+03,0.00946777095821452,4.297000713319237e-15,False
