section,R,N,X0,mu1_error,killed_moment_max,normalized_jet_max,E_X,S_X,random_E_median,ratio_to_random
negative_control,12,15,0.5,0.0,4.0592529337857286e-16,4.0592529337857286e-16,9.677413540948214e-14,2.317130568085801e-06,1.6388260836066983,5.90508879358958e-14
negative_control,24,27,0.5,0.0,1.6497220256539435e-15,1.6497220256539435e-15,2.0940385648772374e-27,4.657385588302532e-13,1.011005531332033,2.0712434304076187e-27

section,label,c,X0,E_u_norm,E_u_physical,gate2_norm,gate2_physical,S_u_norm,S_gammaG_norm,S_gammaG2_norm
singular_control,single,0.01,0.5,1.9513434135012204,1951343413501.22,3.659070529043229,3.659070529043228e+32,2.0,0.7675200000000006,2.000199999999999
singular_control,random_cluster,0.01,0.5,1.236593815060546,1236593815060.5457,305.596515870457,3.055965158704569e+34,1.277938926969322,6.465022680669588,31.060626296869287
singular_control,quadrature_cancelled,0.01,0.5,2.0940385648772374e-27,2.094038564877237e-15,4.646372758242518e-25,46463727.58242516,4.657385588302532e-13,1.999400000000002,15.259259257768862
singular_control,single,0.001,0.5,1.9513434135012204,1.9513434135012198e+18,3.658366498155076,3.658366498155075e+48,2.0,0.7679952000000005,2.0000019999999994
singular_control,random_cluster,0.001,0.5,1.236593815060546,1.2365938150605455e+18,305.60060558611275,3.0560060558611264e+50,1.277938926969322,6.46586645093611,31.060698901972835
singular_control,quadrature_cancelled,0.001,0.5,2.0940385648772374e-27,2.094038564877237e-09,4.64637275740549e-25,4.646372757405489e+23,4.657385588302532e-13,1.9999940000000016,15.259259257768866
