center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status
zero,21.022039638771556,3.1789717272338245,0.2,1.0,100.0,160,8,10,3545.822456216552,64.24250044630624,-7.067113722651935,258.3832851850635,282.81059670969694,2.3001064535361867e-07,2.5649752998162613e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.25,10.0,160,8,1,2463549.57177386,4102.71605164327,-12.724927307851782,3003493726.973169,3006216943.59576,2.438934979634879e-07,2.3060496814211898e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.25,25.0,160,8,3,2463548.902409638,4102.713983203655,-12.724927072924253,3003493726.973169,3006216943.59576,1.115259648575743e-08,2.3249523596965744e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.25,50.0,160,8,5,2463548.874934671,4102.713899482964,-12.724927063281331,3003493726.973169,3006216943.59576,1.7031039867606598e-09,2.2682462298788587e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.25,100.0,160,8,10,2463548.870738991,4102.713886722173,-12.724927061808769,3003493726.973169,3006216943.59576,2.2919550775001052e-10,2.287148285689767e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.5,10.0,160,8,1,68633.45119019195,513.7246306412035,-9.629034912342531,66215659.97826808,66303317.84948827,1.3856673459956793e-05,1.0177135476198038e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.5,25.0,160,8,3,68632.39263719774,513.7205087067288,-9.629021576735822,66215659.9782679,66303317.8494881,6.267743209893402e-07,1.0389319369342757e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.5,50.0,160,8,5,68632.34962017645,513.7203413700437,-9.629021034804822,66215659.978267886,66303317.84948809,9.557297396403692e-08,1.0601352939903501e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.5,100.0,160,8,10,68632.34306077869,513.7203158529527,-9.629020952169109,66215659.9782679,66303317.8494881,1.2856126877682801e-08,1.0389326874044299e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,1.0,10.0,160,8,1,2013.97325789666,64.24326380426388,-6.578023919033056,198793.9604695354,199516.7673275337,0.0002991341307816233,6.773883651683491e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.5,1.0,25.0,160,8,3,2013.3022410962428,64.23513808004272,-6.577735791529695,198793.96046927027,199516.7673249,1.3649798727429436e-05,9.03485510727598e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.5,1.0,50.0,160,8,5,2013.2747599258744,64.23480424253067,-6.577723989359475,198793.96046926916,199516.76732479286,2.083844185990881e-06,9.034978432913095e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.5,1.0,100.0,160,8,10,2013.270564574971,64.23475324426049,-6.577722187593598,198793.96046926265,199516.76732476996,2.804094809742766e-07,6.776247945329706e-16,healthy
zero,21.022039638771556,3.1789717272338245,1.0,0.25,10.0,160,8,1,1244848.776112487,4074.493550009549,-12.134737025410246,2885008246.877092,2887306492.094142,3.209926130452461e-08,2.0311470673442266e-11,healthy
zero,21.022039638771556,3.1789717272338245,1.0,0.25,25.0,160,8,3,1244848.7306788638,4074.491484245546,-12.13473699385341,2885008246.8770766,2887306492.0941277,1.839455233609202e-09,2.03114714147562e-11,healthy
zero,21.022039638771556,3.1789717272338245,1.0,0.25,50.0,160,8,5,1244848.7283890203,4074.4914005764135,-12.134736992262953,2885008246.877075,2887306492.094126,2.8854009093316226e-10,2.0311471452118242e-11,healthy
zero,21.022039638771556,3.1789717272338245,1.0,0.25,100.0,160,8,10,1244848.7280298315,4074.4913878197576,-12.134736992013472,2885008246.877075,2887306492.094126,3.913451607301929e-11,2.0311658493269558e-11,healthy
zero,21.022039638771556,3.1789717272338245,1.0,0.5,10.0,160,8,1,38492.96205896591,512.8395064554061,-9.12901266745565,375436715.87163234,375777117.94945616,3.6613895436159235e-06,1.455457585815017e-14,healthy
zero,21.022039638771556,3.1789717272338245,1.0,0.5,25.0,160,8,3,38492.80434332071,512.8353898396558,-9.129009124815848,375436715.8715957,375777117.9494217,1.7666780861147914e-07,1.45546354922652e-14,healthy
zero,21.022039638771556,3.1789717272338245,1.0,0.5,50.0,160,8,5,38492.79754288132,512.8352226059881,-9.129008972062715,375436715.87159574,375777117.94942176,2.7169757192463822e-08,1.4365616790047952e-14,healthy
zero,21.022039638771556,3.1789717272338245,1.0,0.5,100.0,160,8,10,38492.79649704136,512.8351970971664,-9.129008948570801,375436715.8715957,375777117.9494217,3.6639863868721043e-09,1.4743659737736126e-14,healthy
zero,21.022039638771556,3.1789717272338245,1.0,1.0,10.0,160,8,1,1072.3976748467417,64.21557883015033,-6.033120271946407,8276957.497282646,8287914.73118517,0.00021680326419788132,1.272141934524762e-15,healthy
zero,21.022039638771556,3.1789717272338245,1.0,1.0,25.0,160,8,3,1072.1385062224015,64.20746348762611,-6.032911288587066,8276957.4972179625,8287914.731125141,9.98994139162521e-06,1.2724494500866253e-15,healthy
zero,21.022039638771556,3.1789717272338245,1.0,1.0,50.0,160,8,5,1072.1277956215606,64.20712985536292,-6.032902650893909,8276957.497217948,8287914.731125124,1.5272169382389317e-06,1.2724621619090457e-15,healthy
zero,21.022039638771556,3.1789717272338245,1.0,1.0,100.0,160,8,10,1072.1261582498312,64.20707887361326,-6.032901330408138,8276957.497217948,8287914.731125124,2.0559241761429025e-07,1.0603867543648173e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.1,0.25,10.0,160,8,1,13376857.312975284,4737.14370451779,-13.631593511669196,3253656.54787653,3273618.7060581036,1.210584781123478e-06,1.072177665763584e-14,healthy
zero,25.01085758014569,3.3325922057310575,0.1,0.25,25.0,160,8,3,13376841.119155401,4737.141405476715,-13.631592505991048,3253656.5478762886,3273618.706054541,8.647809355978782e-08,1.1000277679797728e-14,healthy
zero,25.01085758014569,3.3325922057310575,0.1,0.25,50.0,160,8,6,13376839.962351684,4737.141241184742,-13.631592434150495,3253656.547876323,3273618.706054338,7.669886350003269e-09,1.1139522664385672e-14,healthy
zero,25.01085758014569,3.3325922057310575,0.1,0.25,100.0,160,8,11,13376839.859752841,4737.141226613474,-13.631592427778838,3253656.547875569,3273618.706053565,9.676523276558745e-10,1.1139522749824546e-14,healthy
zero,25.01085758014569,3.3325922057310575,0.1,0.5,10.0,160,8,1,301296.488710812,592.18379968611,-10.48045312230359,2381.4470443213327,2606.604602003604,1.6664074933598458e-05,2.70466893349926e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.1,0.5,25.0,160,8,3,301291.4678835469,592.1792161373786,-10.480439278725047,2381.4470441831045,2606.6035608564775,1.193257681317593e-06,2.511520147552106e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.1,0.5,50.0,160,8,6,301291.1083651885,592.1788878012876,-10.48043828744118,2381.447044309924,2606.6034863946497,1.0589271241241445e-07,2.7047172324807277e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.1,0.5,100.0,160,8,11,301291.07646065584,592.1788586638854,-10.480438199472184,2381.447044278359,2606.603479746532,1.3361487111752098e-08,2.511523410398416e-15,healthy
