B_eff,Delta,E_I,J_max,J_rms,N_quad,Q,R,S_I,W,W_mult,c_I,center_type,edge_truncated,eps,kappa,m0,num_zeros_used,ref_idx,run_label
0.33541162194893526,0.15944931186193567,0.6815839084432125,0.7989401915058308,0.3649335108480109,257,3.1357927742763865,4,0.8821971505088668,15.944931186193568,50.0,0.5,gap_midpoint,False,0.31889862372387134,1.0,144.55641414719307,16,50,zero_kernel_only_proxy
-3.778212945159068,0.15870025478685368,76.38930225360397,8.106880977552835,4.004208619379307,257,3.1505935555776987,4,9.96642994472709,15.870025478685367,50.0,0.5,gap_midpoint,False,0.31740050957370736,1.0,146.71187391466256,16,51,zero_kernel_only_proxy
-0.3355958266525254,0.15801231814325853,1.4719449389185058,1.1692848668356608,0.5374165093307604,257,3.164310263119395,4,1.3163402209916282,15.801231814325854,50.0,0.5,gap_midpoint,False,0.31602463628651706,1.0,148.73814288167225,16,52,zero_kernel_only_proxy
-5.508009546375901,0.1574299616483381,581.2650796250639,64.32182427138795,30.79938226683874,257,3.1760155104203327,4,24.61274080268919,15.742996164833812,50.0,0.5,gap_midpoint,False,0.3148599232966762,1.0,150.48938901651317,16,53,zero_kernel_only_proxy
-1.6512552146934534,0.15694453807185157,6.775649325354614,2.470177580649657,1.1707345841513275,257,3.1858388074078277,4,2.90773765726004,15.694453807185157,50.0,0.5,gap_midpoint,False,0.31388907614370315,1.0,151.97497571172016,16,54,zero_kernel_only_proxy
0.7700705625632075,0.15611524091924295,0.4080471128278066,0.6211200713720921,0.28201006291366165,257,3.202762248297369,4,0.6769809175173668,15.611524091924295,50.0,0.5,gap_midpoint,False,0.3122304818384859,1.0,154.56880155271838,17,55,zero_kernel_only_proxy
-3.5161189358561615,0.15540274700692744,60.8793683080624,7.250138037454145,3.5901204881718405,257,3.217446342680875,4,8.91449764847552,15.540274700692745,50.0,0.5,gap_midpoint,False,0.3108054940138549,1.0,156.85525055591597,15,56,zero_kernel_only_proxy
-4.313416854681963,0.15498429379501413,156.37195787135636,11.629907944978878,5.7043106009356945,257,3.226133356850416,4,14.172619371252548,15.498429379501413,50.0,0.5,gap_midpoint,False,0.30996858759002827,1.0,158.22378999450729,16,57,zero_kernel_only_proxy
-0.9438762110492913,0.15444404393118533,3.030850729630962,1.6661553615241618,0.7753471325189389,257,3.2374184673821538,4,1.899759785398806,15.444404393118532,50.0,0.5,gap_midpoint,False,0.30888808786237065,1.0,160.01947615450825,16,58,zero_kernel_only_proxy
-2.295692231683746,0.1538273611260112,14.970918626225858,3.637901581356306,1.7638841894876565,257,3.2503970447130897,4,4.329580447385155,15.382736112601119,50.0,0.5,gap_midpoint,False,0.3076547222520224,1.0,162.10983691238903,16,59,zero_kernel_only_proxy
-0.4854503659872568,0.15319946834186307,1.7757508885396474,1.28131762543286,0.5911175786543483,257,3.263718898059457,4,1.4367514856537313,15.319946834186307,50.0,0.5,gap_midpoint,False,0.30639893668372614,1.0,164.2838894375412,16,60,zero_kernel_only_proxy
-2.901106719847516,0.15261203505709717,31.27345926103046,5.223617842701705,2.5721767420455723,257,3.2762815842992565,4,6.326570179567007,15.261203505709718,50.0,0.5,gap_midpoint,False,0.30522407011419433,1.0,166.36075458303748,15,61,zero_kernel_only_proxy
-2.145100441051542,0.15211824074001618,12.839960574525994,3.386536776818033,1.6209133361220371,257,3.28691679293442,4,4.022429716408449,15.211824074001617,50.0,0.5,gap_midpoint,False,0.30423648148003235,1.0,168.13947769687167,16,62,zero_kernel_only_proxy
