run_id,timestamp,config_name,target_id,target_class,target_generation_method,source_csv,source_row_index,source_config,source_stage,source_a_kind,source_eta_Z,source_eta_W,source_A_sup,source_J_max,source_N_minima,source_rho_rank,source_kappa_basis,R,Q,lambda_,c,alpha,m0,num_primes,include_dual,k_Z,Z0_abs,eta_Z0,A_1,A_R,A_2R,A_logQ2,L2_1,L2_R,L2_2R,L2_logQ2,min_Z_1,min_Z_R,min_Z_2R,min_Z_logQ2,m_at_min_Z_logQ2,N_min_1,N_min_R,N_min_2R,N_min_logQ2,N_min_ratio_logQ2,J_max,J_rms,J_sum_sq,J_argmax_k,cell_count_R,cell_mass_l2_R,cell_mass_inf_R,cell_mass_ratio_R,cell_count_2R,cell_mass_l2_2R,cell_mass_inf_2R,cell_mass_ratio_2R,cell_count_4R,cell_mass_l2_4R,cell_mass_inf_4R,cell_mass_ratio_4R,threat_score,jet_objective,classification,notes
15f3908d,2026-04-27 14:18:09,04_amplitude_v2_dual,e323539e7b3d,det_best_etaZ_by_stage,det_best_etaZ_by_stage,03_reflected_dual.febde28489af.csv,251,03_reflected_dual,formal_dual,,0.0018652350138768203,0.0006096409889999132,nan,nan,nan,0.6444543178394498,69.96891677907755,8,36.0,0.027777777777777776,0.1,0.0,3450.7507507507507,451,True,0,0.01332463673476425,0.0018652350138767659,2.2391649480739786,14.838185221472454,16.687293352316786,16.687293352313688,1.8101360484303077,35.99744287211761,68.59382395483647,59.42764813185235,3.3783278263754823e-07,3.9120848638329875e-07,5.001064288245871e-07,5.515127577959689e-07,3450.7509173791686,0,0,0,0,0.0,2.2212638062488814,2.2213099483638508,4.934217886700213,1,8,55.84695531249916,4.603080618531821,1.0943490471488067,16,83.65359860337401,4.347629911522786,1.6392341428447046,32,58.18107602068436,2.7447285505712333,1.1400873109205665,0.4939027208546215,855200359247480.9,harmless,
15f3908d,2026-04-27 14:18:09,04_amplitude_v2_dual,ae7d22b2587c,det_best_etaZ_by_stage,det_best_etaZ_by_stage,04_actual_like_dual_cover_block.e995fec81310.csv,283,04_actual_like_dual_cover_block,actual_like_dual,,0.0027188872823027364,1.288653879909868e-05,nan,nan,nan,0.6278608974993556,66.54139492588625,8,36.0,0.027777777777777776,0.1,0.0,2409.5595595595596,451,True,0,0.2910724269209659,0.04074546218964351,1.5454733375546783,7.9771975044772745,8.29309068529248,8.29309068528849,1.119801303774393,19.535944941770428,32.583682902088505,29.709163131898386,2.5376985801628393e-07,3.0366904235634706e-07,1.9420292485250457e-08,3.8049601824852175e-07,2409.553290540574,0,0,0,0,0.0,1.2847092385991656,1.2849466197540345,1.651087815617319,1,8,25.5715482328921,2.6685146051090447,0.5010872891135401,16,29.933048173115257,2.695273093256492,0.5865530638726976,32,36.67295932675731,2.7356337880604538,0.7186249970261421,3.1011468256414183,4.0145528733428525e+17,harmless,
15f3908d,2026-04-27 14:18:09,04_amplitude_v2_dual,f050a896d1ad,det_best_etaZ_by_stage,det_best_etaZ_by_stage,04_actual_like_dual_cover_block.e995fec81310.csv,13,04_actual_like_dual_cover_block,actual_like_dual,,0.00223384364105669,0.006669293579111902,nan,nan,nan,3.877227831291804,10.144466629966152,4,28.0,0.03571428571428571,0.1,0.0,2673.3733733733734,2059,True,0,1.1061618463139418,0.11951960578689158,1.165351061356624,5.9710455949356795,16.445237358819895,17.351519149385375,1.419625544278048,5.540561752522605,25.44418070188613,39.347187413575746,0.42399881259656,3.290520433907318e-07,1.5191500146727321e-07,1.074389199828829e-08,2673.053304706237,0,0,0,0,0.0,0.37493996039448496,0.47737396820070405,0.2278859055156868,2,4,49.29262755829936,3.617784266100485,0.575470311879415,8,106.20949776276242,5.165636353253772,1.2399503907517329,16,100.71212989909854,5.24402701754243,1.1757709757818793,7.196443296508966,2.8414096897175584e+17,harmless,
15f3908d,2026-04-27 14:18:10,04_amplitude_v2_dual,2b177eba9030,det_best_etaZ_by_stage,det_best_etaZ_by_stage,03_reflected_dual.febde28489af.csv,11,03_reflected_dual,formal_dual,,0.002272455502549676,0.010348476604981349,nan,nan,nan,3.926966465939648,10.879597247749015,4,28.0,0.03571428571428571,0.1,0.0,520.7207207207207,2059,True,0,0.021031725781030186,0.002272455502549772,0.7237721658822516,4.988892518416323,12.129210744758533,13.962849928919892,0.4741939848898553,5.125018501258078,18.669325952583495,30.72652082678861,2.3089483502936048e-07,6.478335645709876e-09,1.731288725714819e-07,1.8941489265955624e-07,520.7194095375797,0,0,0,0,0.0,0.5664962848373489,0.5924846101471158,0.3510380132611798,1,4,17.691544032338143,2.9062631337445546,0.2065411982730443,8,80.07338851779912,3.97693171570926,0.9348225109136225,16,77.55240606664532,4.217981990239758,0.9053911206779898,0.16635890265815578,102850538345612.25,harmless,
15f3908d,2026-04-27 14:18:11,04_amplitude_v2_dual,fc136a23f426,det_best_etaZ_by_stage,det_best_etaZ_by_stage,04_actual_like_dual_cover_block.e995fec81310.csv,36,04_actual_like_dual_cover_block,main_orbit,,0.012011730654589586,2.3230874731845628e-05,nan,nan,nan,0.1956030443637792,56.917848038114016,4,28.0,0.03571428571428571,0.1,0.14285714285714285,160.1101101101101,2059,True,0,5.622406774990167,0.2930131548398837,5.6762529149227365,6.660609076302657,9.557523660046453,9.933383428641605,7.945846201602107,16.073652308167418,25.713816627471246,33.16219543214752,5.54721693611959,5.257266358784954,5.257266358784147,5.257266358785451,159.97544260125906,0,0,0,0,0.0,2.0530310106778042,2.0903070474896785,4.369383552785017,1,4,22.529509760940392,4.594184118381375,0.06119014076707576,8,47.923359619248224,5.929934601478163,0.13015982825409655,16,150.84459438075487,7.293133237332423,0.40969386649119716,114.66080118833221,7.340759571331636e+18,harmless,
15f3908d,2026-04-27 14:18:09,04_amplitude_v2_dual,89a0c638ab59,v1_smallest_Jmax,v1_smallest_Jmax,02_amplitude_with_dual.ea73fb687442.csv,0,02_amplitude_with_dual,main_orbit,logQ2,0.011728639184191935,nan,2.232085157392512,0.006140228119105487,0.0,nan,nan,6,32.0,0.03125,0.1,0.03125,2900.4504504504507,670,True,0,0.0944937219331113,0.011728639184191935,0.09511561649211764,0.2989715061187119,2.2275482266752578,2.232085157392512,0.13269467536611526,0.37662982911765686,4.138133572724956,4.150891480002489,0.09003937680288378,0.06219975861196473,0.062199758611641905,0.06219975861784217,2900.3471323653007,0,0,0,0,0.0,0.006140228119105487,0.006621478158122362,4.38439729984915e-05,1,6,9.837944022469845,1.8204705640976515,0.1515631728704315,12,27.420868593868896,3.689753059985832,0.4224453643421487,24,50.22594849014709,3.9233355853174925,0.7737799784392791,0.0012950848443824435,1.0294509355800532e+16,harmless,
15f3908d,2026-04-27 14:18:09,04_amplitude_v2_dual,a3751833118c,det_best_etaZ_by_stage,det_best_etaZ_by_stage,03_reflected_dual.febde28489af.csv,91,03_reflected_dual,formal_dual,,0.0006704145010123976,0.0021477912107941235,nan,nan,nan,1.7073933850961256,26.246092552273694,6,32.0,0.03125,0.1,0.0,1866.2162162162163,670,True,0,0.005188133999258326,0.0006704145010124262,0.702015321987268,5.773437250313055,9.914710231248925,9.91528212334327,0.5094302597024821,8.146139229219381,22.76206864251047,22.788638421122638,4.698986000306604e-08,7.366897403215944e-08,1.6461275942347697e-07,5.8560988502875944e-08,1866.2159547727083,0,0,0,0,0.0,0.6207700809401184,0.6255570655197847,0.3913216422217243,1,6,83.09363666464195,5.695887019995439,1.3874974593675704,12,47.71571330250825,2.9481528056277977,0.7967569315366523,24,68.6548770193877,3.3549558890966766,1.146399065695579,0.03193353798291499,31463144612756.516,harmless,
15f3908d,2026-04-27 14:18:10,04_amplitude_v2_dual,e1b7b9af1fbb,det_best_etaZ_by_stage,det_best_etaZ_by_stage,04_actual_like_dual_cover_block.e995fec81310.csv,108,04_actual_like_dual_cover_block,actual_like_dual,,0.0010214318052535348,0.0003839827805620046,nan,nan,nan,1.6754377996359968,25.009038200324667,6,32.0,0.03125,0.1,0.0,270.72072072072075,670,True,0,0.05542616504346831,0.007162209917084102,0.24452863572598837,2.038655524708878,6.353896253542173,6.36206204624065,0.17621824812239203,3.246357072394166,14.491432902899385,14.520863760757436,7.117159395164663e-08,5.5558127431964976e-08,4.245498896882083e-08,9.180937232677877e-09,270.71187077733987,0,0,0,0,0.0,0.193175104913475,0.19337370193267586,0.03739338859914737,1,6,56.17662687485892,4.661566521764513,0.9380372576456737,12,29.712096900250177,2.8405337819730825,0.49613256341110984,24,26.331871067393827,2.077298775639775,0.4396895559386432,0.06811831360915827,3541884888379953.0,harmless,
15f3908d,2026-04-27 14:18:11,04_amplitude_v2_dual,4a7285c460b7,det_best_etaZ_by_stage,det_best_etaZ_by_stage,01_main_relaxed_orbit.683062da434a.csv,49,01_main_relaxed_orbit,main_orbit,,0.0015563867314093496,1.1556899198685504e-08,nan,nan,nan,0.006304170496867634,29.249070413840368,6,32.0,0.03125,0.1,0.03125,2900.4504504504507,670,True,0,0.0944937219331113,0.011728639184191935,0.09511561649211764,0.2989715061187119,2.2275482266752578,2.232085157392512,0.13269467536611526,0.37662982911765686,4.138133572724956,4.150891480002489,0.09003937680288378,0.06219975861196473,0.062199758611641905,0.06219975861784217,2900.3471323653007,0,0,0,0,0.0,0.006140228119105487,0.006621478158122362,4.38439729984915e-05,1,6,9.837944022469845,1.8204705640976515,0.1515631728704315,12,27.420868593868896,3.689753059985832,0.4224453643421487,24,50.22594849014709,3.9233355853174925,0.7737799784392791,0.0012950848443824435,1.0294509355800532e+16,harmless,
15f3908d,2026-04-27 14:18:11,04_amplitude_v2_dual,93fe6d99eb81,det_best_etaZ_by_stage,det_best_etaZ_by_stage,04_actual_like_dual_cover_block.e995fec81310.csv,131,04_actual_like_dual_cover_block,main_orbit,,0.004389348371624045,2.313678896412559e-08,nan,nan,nan,0.0065866644789019735,26.756290025698977,6,32.0,0.03125,0.1,-0.03125,81.53153153153153,670,True,0,0.1640705922856687,0.020364578072365833,0.23473752359104044,1.2217452765383052,2.1438414244630315,2.144602866344756,0.2614951888710174,1.89052940286876,5.416310587939819,5.423107524160892,0.1639401471113898,0.1639401471114399,0.16394014711135962,0.1639401471112993,81.53289195289244,0,0,0,0,0.0,0.16816931072711955,0.17105859550425778,0.029261043095889283,1,6,0.948409116744815,0.7126032957063388,0.014611172271846317,12,12.9516021816134,1.810452867214523,0.19953212946907128,24,20.576249208690648,2.2928002122479696,0.31699729219021566,0.05917310683253861,3.1035709761542772e+16,harmless,
