run_id,timestamp,config_name,stage,R,Q,lambda_,c,u_min,u_max,u0,L,num_primes,alpha,m,lambda_u0,lambda_L,op_node_min,op_node_max,diam_x,eta_Z,log_eta_Z,eta_W,log_eta_W,eta_sv,rho_rank_2,rho_rank_inf,kappa_basis,gram_error,eta_E2_det,row_norm_min,row_norm_max,sigma_min,sigma_max,objective_value,collapse_class,notes,k_Z,k_q,source_mode,smoothing,conductor_policy,dual_type,dual_node_convention,num_dual_terms,E2_model,E2_trials,eta_W_median_perturbed,eta_W_worst_perturbed,eta_W_best_perturbed,survives_E2
0e85755b,2026-04-27 06:11:25,05_literal_q2_dual_cover_block,relaxed,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.2857142857142857,nan,0.225,0.25,nan,nan,2.0,0.16941136231378978,-1.7754254251422843,0.0013771309225045034,-6.587752985683718,0.005944754339080569,0.06421870472263866,0.005819066294276774,21.7464154202855,3.156504291010247e-15,nan,0.008174486912739167,0.041473455427621146,0.00037709086149863557,0.06343253900664252,0.02870210617059187,no_collapse,phase-relaxed negative control,0,2,literal_q2,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
0e85755b,2026-04-27 06:11:28,05_literal_q2_dual_cover_block,main_orbit,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.2857142857142857,1440.6406406406406,0.225,0.25,nan,nan,2.0,0.01641862585904523,-4.1093388654850695,0.0004951498728403183,-7.61065006780742,0.005051918490397988,0.06421870472263866,0.005819066294276774,21.7464154202855,3.156504291010247e-15,nan,0.004184179142210201,0.013708220724581678,0.00011972273445060845,0.023698469141606587,0.0002698164484958825,no_collapse,main-only orbit,0,2,literal_q2,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
0e85755b,2026-04-27 06:11:31,05_literal_q2_dual_cover_block,b2,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.2857142857142857,1440.6406406406406,0.225,0.25,nan,nan,2.0,0.01641862585904523,-4.1093388654850695,0.0018991697751246889,-6.266338448765474,0.02169653065506212,0.06421870472263866,0.005819066294276774,21.7464154202855,3.156504291010247e-15,nan,0.013227841852433263,0.01734230327499582,0.0007244905344711093,0.033391999208964546,0.00027317812093405585,no_collapse,+B2 canonical injection,0,2,literal_q2,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
0e85755b,2026-04-27 06:11:36,05_literal_q2_dual_cover_block,actual_like_dual,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.2857142857142857,507.30730730730727,0.225,0.25,nan,nan,2.0,0.018737494631766462,-3.9772287020502484,0.006198064890142329,-5.08351815014213,0.00038480424523649586,3.09818033264526,0.13759454440134766,6.77414434144337,2.3733872966916315e-15,nan,0.0030140662829546676,0.1754480574917065,6.754448997389647e-05,0.17552948235377308,0.000389509713457892,no_collapse,reflected log-derivative dual (configured smoothing),0,2,literal_q2,bump,cover_block,reflected_logderiv,operator_signed,4118,,0,nan,nan,nan,False
0e85755b,2026-04-27 06:11:36,05_literal_q2_dual_cover_block,e2,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.2857142857142857,507.30730730730727,0.225,0.25,nan,nan,2.0,0.018737494631766462,-3.9772287020502484,0.006198064890142329,-5.08351815014213,0.00038480424523649586,3.09818033264526,0.13759454440134766,6.77414434144337,2.3733872966916315e-15,nan,0.0030140662829546676,0.1754480574917065,6.754448997389647e-05,0.17552948235377308,0.000389509713457892,no_collapse,E2 row perturbation on actual_like_dual,0,2,literal_q2,bump,cover_block,reflected_logderiv,operator_signed,4118,row_perturbation,200,0.00619806491929159,0.0061980677757880525,0.006198062232983321,True
0e85755b,2026-04-27 06:11:25,05_literal_q2_dual_cover_block,relaxed,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.008928571428571428,nan,0.225,0.25,nan,nan,2.0,0.19546045924600358,-1.6323971745090609,0.001105065606732855,-6.807850573165986,0.005598835500234767,0.08595208680804364,0.007667750583973801,21.7464154202855,3.156504291010247e-15,nan,0.007103465192642958,0.2058326493370473,0.0012174139471949781,0.21744056369291978,0.038206012298653814,no_collapse,phase-relaxed negative control,0,2,literal_q2,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
0e85755b,2026-04-27 06:11:28,05_literal_q2_dual_cover_block,main_orbit,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.008928571428571428,759.5595595595595,0.225,0.25,nan,nan,2.0,0.0037069185951268853,-5.597554314826206,0.0001000626497872363,-9.209714070271684,0.0004443190206610551,0.08595208680804364,0.007667750583973801,21.7464154202855,3.156504291010247e-15,nan,0.005420720579721325,0.07520363280836953,3.561927906752915e-05,0.08016600102902416,1.3751258004779924e-05,no_collapse,main-only orbit,0,2,literal_q2,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
0e85755b,2026-04-27 06:11:31,05_literal_q2_dual_cover_block,b2,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.008928571428571428,759.5595595595595,0.225,0.25,nan,nan,2.0,0.0037069185951268853,-5.597554314826206,0.0022813159138410965,-6.083002847312326,0.012996114263775692,0.08595208680804364,0.007667750583973801,21.7464154202855,3.156504291010247e-15,nan,0.0143325528885315,0.07520363280836953,0.00104798771905615,0.08063854301260072,1.8945647769642117e-05,no_collapse,+B2 canonical injection,0,2,literal_q2,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
0e85755b,2026-04-27 06:11:36,05_literal_q2_dual_cover_block,actual_like_dual,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.008928571428571428,1519.119119119119,0.225,0.25,nan,nan,2.0,0.01153376990363619,-4.462476033386539,0.004985943511510673,-5.301132623365191,0.0020650612525408667,1.229123015376164,0.06541727937790964,6.77414434144337,2.3733872966916315e-15,nan,0.005002223620045341,0.07628753510392858,0.00015887192570719332,0.07693327522935028,0.00015788748088999935,no_collapse,reflected log-derivative dual (configured smoothing),0,2,literal_q2,bump,cover_block,reflected_logderiv,operator_signed,4118,,0,nan,nan,nan,False
0e85755b,2026-04-27 06:11:36,05_literal_q2_dual_cover_block,e2,4,28.0,0.03571428571428571,0.1,2.8000000000000003,9.8,6.300000000000001,7.0,2059,0.008928571428571428,1519.119119119119,0.225,0.25,nan,nan,2.0,0.01153376990363619,-4.462476033386539,0.004985943511510673,-5.301132623365191,0.0020650612525408667,1.229123015376164,0.06541727937790964,6.77414434144337,2.3733872966916315e-15,nan,0.005002223620045341,0.07628753510392858,0.00015887192570719332,0.07693327522935028,0.00015788748088999935,no_collapse,E2 row perturbation on actual_like_dual,0,2,literal_q2,bump,cover_block,reflected_logderiv,operator_signed,4118,row_perturbation,200,0.004985943492225162,0.004985946027546504,0.004985941144745661,True
