B_eff,E_I,J_max,J_rms,Q,R_jet,S_I,W_factor,c_I,center_type,kappa,local_zero_count,m0,nquad,quad_drift_rel,status,tail_drift_rel,tail_edge
0.8676157385939856,0.2491272189098058,0.4977025581632352,0.22261526235590465,4.962211581108665,4,0.5047189738309449,25.0,0.2,gap_midpoint,0.5,8,897.9268871122931,257,1.2255237830212877e-15,healthy,0.009703272252014599,False
0.8676157385939856,0.2491272189098058,0.4977025581632352,0.22261526235590465,4.962211581108665,4,0.5047189738309449,25.0,0.2,large_gap_midpoint,0.5,8,897.9268871122931,257,1.2255237830212877e-15,healthy,0.009703272252014599,False
0.8615286227695397,0.25156825416998113,0.5001415317096357,0.22370587168473513,4.962211581108665,4,0.507168518761195,50.0,0.2,gap_midpoint,0.5,16,897.9268871122931,257,1.103301992821194e-15,healthy,0.0010263316000082658,False
0.8615286227695397,0.25156825416998113,0.5001415317096357,0.22370587168473513,4.962211581108665,4,0.507168518761195,50.0,0.2,large_gap_midpoint,0.5,16,897.9268871122931,257,1.103301992821194e-15,healthy,0.0010263316000082658,False
0.8487011042255528,0.25679089644517805,0.4977025581632353,0.2239370120018359,4.962211581108665,4,0.5317720069560574,25.0,0.5,gap_midpoint,0.5,8,897.9268871122931,257,1.2970354946311463e-15,healthy,0.009565161408947979,False
0.8487011042255528,0.25679089644517805,0.4977025581632353,0.2239370120018359,4.962211581108665,4,0.5317720069560574,25.0,0.5,large_gap_midpoint,0.5,8,897.9268871122931,257,1.2970354946311463e-15,healthy,0.009565161408947979,False
0.8465440426366527,0.24630479075714415,0.4950394953074891,0.2214184223862523,5.234038992863128,4,0.5020564377591026,25.0,0.2,gap_midpoint,0.5,8,1178.403763961795,257,3.944077350508599e-15,healthy,0.0109077266252127,False
0.8465440426366527,0.24630479075714415,0.4950394953074891,0.2214184223862523,5.234038992863128,4,0.5020564377591026,25.0,0.2,large_gap_midpoint,0.5,8,1178.403763961795,257,3.944077350508599e-15,healthy,0.0109077266252127,False
0.8427010466426796,0.25927086410901823,0.5001415317096356,0.22502209677427215,4.962211581108665,4,0.534241680301039,50.0,0.5,gap_midpoint,0.5,16,897.9268871122931,257,1.2846291407718646e-15,healthy,0.001011033948865898,False
0.8427010466426796,0.25927086410901823,0.5001415317096356,0.22502209677427215,4.962211581108665,4,0.534241680301039,50.0,0.5,large_gap_midpoint,0.5,16,897.9268871122931,257,1.2846291407718646e-15,healthy,0.001011033948865898,False
0.8399177962594525,0.24902104423154686,0.49776815974875516,0.22263858833233238,5.234038992863128,4,0.5047928845669325,50.0,0.2,gap_midpoint,0.5,16,1178.403763961795,257,3.789597677752542e-15,healthy,0.0011999935570353797,False
0.8399177962594525,0.24902104423154686,0.49776815974875516,0.22263858833233238,5.234038992863128,4,0.5047928845669325,50.0,0.2,large_gap_midpoint,0.5,16,1178.403763961795,257,3.789597677752542e-15,healthy,0.0011999935570353797,False
0.8303840029143279,0.25298180849778806,0.4950394953074891,0.2224443377472202,5.234038992863128,4,0.5270903016376554,25.0,0.5,gap_midpoint,0.5,8,1178.403763961795,257,2.5234155884574074e-14,healthy,0.010771132570469234,False
0.8303840029143279,0.25298180849778806,0.4950394953074891,0.2224443377472202,5.234038992863128,4,0.5270903016376554,25.0,0.5,large_gap_midpoint,0.5,8,1178.403763961795,257,2.5234155884574074e-14,healthy,0.010771132570469234,False
0.8238411858982051,0.2557363789384256,0.4977681597487552,0.22365958829476645,5.234038992863128,4,0.5298429189904579,50.0,0.5,gap_midpoint,0.5,16,1178.403763961795,257,2.539648336704157e-14,healthy,0.0011842050532201854,False
0.8238411858982051,0.2557363789384256,0.4977681597487552,0.22365958829476645,5.234038992863128,4,0.5298429189904579,50.0,0.5,large_gap_midpoint,0.5,16,1178.403763961795,257,2.539648336704157e-14,healthy,0.0011842050532201854,False
0.786575775280917,0.2760471202252749,0.5239598079268424,0.23435817268226364,5.136847390741746,4,0.531553824141856,25.0,0.2,gap_midpoint,0.5,8,1069.262521037936,257,2.4131163340210882e-15,healthy,0.00959940784270103,False
0.786575775280917,0.2760471202252749,0.5239598079268424,0.23435817268226364,5.136847390741746,4,0.531553824141856,25.0,0.2,large_gap_midpoint,0.5,8,1069.262521037936,257,2.4131163340210882e-15,healthy,0.00959940784270103,False
0.7806814058891307,0.27872269303069247,0.5264995214145335,0.23549383349603992,5.136847390741746,4,0.5341038423093734,50.0,0.2,gap_midpoint,0.5,16,1069.262521037936,257,2.589114500005514e-15,healthy,0.0010817816486878035,False
0.7806814058891307,0.27872269303069247,0.5264995214145335,0.23549383349603992,5.136847390741746,4,0.5341038423093734,50.0,0.2,large_gap_midpoint,0.5,16,1069.262521037936,257,2.589114500005514e-15,healthy,0.0010817816486878035,False
0.7691525870063581,0.2531837656074012,0.5022004179594833,0.2246175543693585,5.965024331551558,4,0.510265217795168,25.0,0.2,gap_midpoint,0.5,8,2447.693417796073,257,1.7540192941860567e-15,healthy,0.01548719375011055,False
0.7691525870063581,0.2531837656074012,0.5022004179594833,0.2246175543693585,5.965024331551558,4,0.510265217795168,25.0,0.2,large_gap_midpoint,0.5,8,2447.693417796073,257,1.7540192941860567e-15,healthy,0.01548719375011055,False
0.7687703331309648,0.28420877923110943,0.523959807926842,0.23564656050368876,5.136847390741746,4,0.5596733218179593,25.0,0.5,gap_midpoint,0.5,8,1069.262521037936,257,4.297000713319237e-15,healthy,0.00946777095821452,False
0.7687703331309648,0.28420877923110943,0.523959807926842,0.23564656050368876,5.136847390741746,4,0.5596733218179593,25.0,0.5,large_gap_midpoint,0.5,8,1069.262521037936,257,4.297000713319237e-15,healthy,0.00946777095821452,False
0.7629571790439487,0.2869253224663325,0.526499521414533,0.2367768395327317,5.136847390741746,4,0.5622429606615749,50.0,0.5,gap_midpoint,0.5,16,1069.262521037936,257,4.2563176947582466e-15,healthy,0.0010662712495735727,False
0.7629571790439487,0.2869253224663325,0.526499521414533,0.2367768395327317,5.136847390741746,4,0.5622429606615749,50.0,0.5,large_gap_midpoint,0.5,16,1069.262521037936,257,4.2563176947582466e-15,healthy,0.0010662712495735727,False
0.7604128712758966,0.2571665538529704,0.5061421405604981,0.22638017890790527,5.965024331551558,4,0.5142139624627196,50.0,0.2,gap_midpoint,0.5,16,2447.693417796073,257,1.726854457535565e-15,healthy,0.0018003490959022242,False
0.7604128712758966,0.2571665538529704,0.5061421405604981,0.22638017890790527,5.965024331551558,4,0.5142139624627196,50.0,0.2,large_gap_midpoint,0.5,16,2447.693417796073,257,1.726854457535565e-15,healthy,0.0018003490959022242,False
0.7576929492042855,0.25841879078184127,0.5022004179594843,0.22525997489655813,5.965024331551558,4,0.5336077740477373,25.0,0.5,gap_midpoint,0.5,8,2447.693417796073,257,2.255513564492557e-14,healthy,0.015340856963917241,False
0.7576929492042855,0.25841879078184127,0.5022004179594843,0.22525997489655813,5.965024331551558,4,0.5336077740477373,25.0,0.5,large_gap_midpoint,0.5,8,2447.693417796073,257,2.255513564492557e-14,healthy,0.015340856963917241,False
0.7490364557399628,0.26244492077231596,0.5061421405604987,0.2270183495844044,5.965024331551558,4,0.5375733484674176,50.0,0.5,gap_midpoint,0.5,16,2447.693417796073,257,2.2420635968863543e-14,healthy,0.001782256895805271,False
0.7490364557399628,0.26244492077231596,0.5061421405604987,0.2270183495844044,5.965024331551558,4,0.5375733484674176,50.0,0.5,large_gap_midpoint,0.5,16,2447.693417796073,257,2.2420635968863543e-14,healthy,0.001782256895805271,False
0.7465415513137519,0.3048635874457444,0.5504343589805059,0.24620458029014167,4.909597107306596,4,0.5564322459296583,25.0,0.2,gap_midpoint,0.5,8,851.9042805246966,257,9.104260645941683e-16,healthy,0.007987067186379834,False
0.7465415513137519,0.3048635874457444,0.5504343589805059,0.24620458029014167,4.909597107306596,4,0.5564322459296583,25.0,0.2,large_gap_midpoint,0.5,8,851.9042805246966,257,9.104260645941683e-16,healthy,0.007987067186379834,False
0.7415018482094847,0.3073181582230665,0.5526523537670337,0.24719633789856676,4.909597107306596,4,0.5586466322317936,50.0,0.2,gap_midpoint,0.5,16,851.9042805246966,257,1.0837853165376278e-15,healthy,0.0008926174528014582,False
0.7415018482094847,0.3073181582230665,0.5526523537670337,0.24719633789856676,4.909597107306596,4,0.5586466322317936,50.0,0.2,large_gap_midpoint,0.5,16,851.9042805246966,257,1.0837853165376278e-15,healthy,0.0008926174528014582,False
0.7393116674399642,0.3042294254388423,0.5499637778945102,0.24599022709235083,5.000655697353368,4,0.5566476479495233,25.0,0.2,gap_midpoint,0.5,8,933.1190237913893,257,3.101901039224387e-15,healthy,0.008453272643793709,False
0.7393116674399642,0.3042294254388423,0.5499637778945102,0.24599022709235083,5.000655697353368,4,0.5566476479495233,25.0,0.2,large_gap_midpoint,0.5,8,933.1190237913893,257,3.101901039224387e-15,healthy,0.008453272643793709,False
0.7391095177690887,0.29120415383886095,0.538253735033668,0.24075754781396766,5.307985050899312,4,0.5484379570292941,25.0,0.2,gap_midpoint,0.5,8,1268.8447468329664,257,2.0968885762588586e-15,healthy,0.01012999372431742,False
0.7391095177690887,0.29120415383886095,0.538253735033668,0.24075754781396766,5.307985050899312,4,0.5484379570292941,25.0,0.2,large_gap_midpoint,0.5,8,1268.8447468329664,257,2.0968885762588586e-15,healthy,0.01012999372431742,False
0.7340374580332,0.30682308462660074,0.5523096340891226,0.24703916266591697,5.000655697353368,4,0.5589855320980388,50.0,0.2,gap_midpoint,0.5,16,933.1190237913893,257,3.2566021666155064e-15,healthy,0.0009381646687594778,False
0.7340374580332,0.30682308462660074,0.5523096340891226,0.24703916266591697,5.000655697353368,4,0.5589855320980388,50.0,0.2,large_gap_midpoint,0.5,16,933.1190237913893,257,3.2566021666155064e-15,healthy,0.0009381646687594778,False
