center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status
zero,37.586178158825675,3.7034275692072347,0.2,0.5,10.0,96,6,1,393644.51690691255,812.4957345400697,-9.840074341684879,41516.12262523419,42140.43301049994,2.5355360858377332e-05,1.5821939466297294e-14,healthy
zero,37.586178158825675,3.7034275692072347,0.2,0.5,25.0,96,6,4,393633.6365478974,812.4867381359643,-9.840053230163436,41516.12262524024,42140.432838323126,1.366983703007393e-06,1.5970249478132558e-14,healthy
zero,37.586178158825675,3.7034275692072347,0.2,1.0,10.0,96,6,1,8866.335938955765,101.58134226049584,-6.942872697760152,115.52236291479241,171.55141398610138,0.00034503482694924614,3.692822998051391e-15,healthy
zero,37.586178158825675,3.7034275692072347,0.2,1.0,25.0,96,6,4,8862.998597170346,101.5635981763338,-6.942585148163062,115.52236292789848,171.54092191852803,1.8825264515341797e-05,3.4889794375181515e-15,healthy
zero,37.586178158825675,3.7034275692072347,0.5,0.5,10.0,96,6,1,171569.0617880631,811.4113993146863,-9.205774685040478,1645987.079995326,1650585.1622477386,1.951744096244684e-05,2.510573213320604e-14,healthy
zero,37.586178158825675,3.7034275692072347,0.5,0.5,25.0,96,6,4,171565.4109665207,811.4024119205768,-9.205758432144334,1645987.0799971092,1650585.1622452217,1.054484168064664e-06,2.5445540239821152e-14,healthy
zero,37.586178158825675,3.7034275692072347,0.5,1.0,10.0,96,6,1,5034.505715967203,101.54743725627701,-6.5106080519319045,15507.17732544035,15638.160901058167,0.0004215479897654565,2.2400876944515873e-14,healthy
zero,37.586178158825675,3.7034275692072347,0.5,1.0,25.0,96,6,4,5032.190742727907,101.52971073140161,-6.510256763768829,15507.177328702826,15638.160794545287,2.2959744421365454e-05,2.241118208462573e-14,healthy
zero,40.9187190121475,3.7823406303858436,0.2,0.5,10.0,96,6,2,446699.70753198455,865.5252515655446,-9.779163370581825,44226.96466082821,44892.039653980515,1.8438956469478552e-05,4.9516287506263364e-15,healthy
zero,40.9187190121475,3.7823406303858436,0.2,0.5,25.0,96,6,3,446691.47085552244,865.5188478815805,-9.77914951015183,44226.9646608345,44892.03953176052,2.1349893051284e-06,5.082028477681537e-15,healthy
zero,40.9187190121475,3.7823406303858436,0.2,1.0,10.0,96,6,2,10052.935848184059,108.16896821155545,-6.9272509200142665,123.0655261024627,182.72634818920514,0.0002507804464091693,3.6188222644918883e-16,healthy
zero,40.9187190121475,3.7823406303858436,0.2,1.0,25.0,96,6,3,10050.414768444329,108.15636021941684,-6.927062388266457,123.06552611331492,182.71890944262515,2.9415555678538918e-05,1.8098650110013437e-16,healthy
zero,40.9187190121475,3.7823406303858436,0.5,0.5,10.0,96,6,2,194696.0912260926,864.3701630924148,-9.154928329607158,1753463.6622405043,1758361.981440191,1.4189747066220517e-05,1.569575525996717e-14,healthy
zero,40.9187190121475,3.7823406303858436,0.5,0.5,25.0,96,6,3,194693.32853780332,864.3637494993374,-9.154917663299749,1753463.6622419844,1758361.9814385762,1.6468267336055095e-06,1.5546492477334935e-14,healthy
zero,40.9187190121475,3.7823406303858436,0.5,1.0,10.0,96,6,2,5707.12730234635,108.13294426584591,-6.501684803153041,16519.73601587797,16659.272027668954,0.00030644177273370804,8.605505238256487e-15,healthy
zero,40.9187190121475,3.7823406303858436,0.5,1.0,25.0,96,6,3,5705.378400138602,108.12031691710553,-6.501454419914923,16519.7360185912,16659.27195290596,3.5875072038067966e-05,8.448733074881447e-15,healthy
zero,43.327073280915,3.835726526289533,0.2,0.5,10.0,96,6,2,485891.43422289455,902.6956944946111,-9.739765810227835,46126.247839798154,46819.883844467644,4.500253240362365e-06,1.689118105554821e-14,healthy
zero,43.327073280915,3.835726526289533,0.2,0.5,25.0,96,6,5,485887.67579806317,902.6928936666819,-9.739760056449976,46126.247839799864,46819.88379069165,5.127439766666052e-07,1.677151517477925e-14,healthy
zero,43.327073280915,3.835726526289533,0.2,1.0,10.0,96,6,2,10935.430384410534,112.81670005558948,-6.917619652001993,128.35045315414825,190.57483675126178,6.169042723218107e-05,4.32481601818012e-15,healthy
zero,43.327073280915,3.835726526289533,0.2,1.0,25.0,96,6,5,10934.269413436308,112.8111346487202,-6.917540676331499,128.35045315458134,190.57154638283208,7.072110649425538e-06,4.3252752153771276e-15,healthy
zero,43.327073280915,3.835726526289533,0.5,0.5,10.0,96,6,2,211777.80138624078,901.4909984093973,-9.122038195222306,1828764.4219500618,1833873.0946162413,3.4682380724222605e-06,1.649115078137245e-14,healthy
zero,43.327073280915,3.835726526289533,0.5,0.5,25.0,96,6,5,211776.5386352281,901.4881960867954,-9.12203375991853,1828764.4219501156,1833873.0946150536,3.955977962783817e-07,1.6353822036522778e-14,healthy
zero,43.327073280915,3.835726526289533,0.5,1.0,10.0,96,6,2,6208.194193937648,112.77912255340557,-6.4964985037078105,17229.159703783742,17374.687967950813,7.52945931914028e-05,1.0987430563879475e-14,healthy
zero,43.327073280915,3.835726526289533,0.5,1.0,25.0,96,6,5,6207.389908364173,112.77355419282028,-6.496402130147312,17229.159703886402,17374.687933065852,8.623599917841136e-06,1.0695818082888927e-14,healthy
small_gap_mid,750.8111657143875,6.625141893292165,0.2,0.5,10.0,96,6,2,636232.9054079809,869.5315094306743,-7.067279787543457,760.4537592721817,888.8084222681827,8.680027631179955e-05,2.3603897861970297e-14,healthy
small_gap_mid,750.8111657143875,6.625141893292165,0.2,0.5,25.0,96,6,6,636300.3235967793,869.574695077264,-7.067335824670682,760.4960295944951,888.8446240343559,8.119926519704693e-06,2.3601396948512575e-14,healthy
