m0,c_I,Q,eta_abs,kappa,W_factor,cutoff_mode,ngrid,n_local_zeros,E_I_zeta,B_eff_zeta,E_I_proxy,B_eff_proxy,D_completed,ratio_E_zeta_proxy,group
27.7179,0.1,1.4842013474668494,0.3368815160108644,0.5,40.0,hard,201,11,0.005739931354786783,13.068146417504906,0.005639406766255451,13.112890433431538,7.87428355256684e-05,1.017825383537297,A_watch
27.7179,0.2,1.4842013474668494,0.3368815160108644,0.5,40.0,hard,201,11,0.005804817182785075,13.039679639969826,0.005703919481112872,13.08408476621444,7.757060286304119e-05,1.0176891875851861,A_watch
27.7179,0.5,1.4842013474668494,0.3368815160108644,0.5,40.0,hard,201,11,0.006292144983538736,12.835530135841047,0.006188344488900165,12.877655743642839,7.076261307142232e-05,1.0167735482122489,A_watch
27.7179,1.0,1.4842013474668494,0.3368815160108644,0.5,40.0,hard,201,11,0.008610456826728214,12.041167600963503,0.008499494490485175,12.074015021298395,6.060608623740978e-05,1.0130551689123697,A_watch
109.099,0.1,2.854378660484831,0.17516947100321736,0.5,40.0,hard,201,13,0.030478175671679677,3.328150323740337,0.030419978189263387,3.32997260362889,6.321409881344643e-06,1.0019131336010239,A_watch
109.099,0.2,2.854378660484831,0.17516947100321736,0.5,40.0,hard,201,13,0.030651534041249484,3.3227426743762005,0.030597645170143427,3.3244203724426655,8.544827960307848e-07,1.0017612097534434,A_watch
109.099,0.5,2.854378660484831,0.17516947100321736,0.5,40.0,hard,201,13,0.03193952903233814,3.283498243289754,0.03188745314566255,3.285054020258276,8.529577096172818e-07,1.0016331152706899,A_watch
109.099,1.0,2.854378660484831,0.17516947100321736,0.5,40.0,hard,201,13,0.03727132528718884,3.1363091711436715,0.037231028962649244,3.137340531326201,3.704149922106055e-06,1.0010823317448472,A_watch
171.662,0.1,3.3076503607507575,0.15116470771309454,0.5,40.0,hard,201,12,0.05073285585343702,2.492130615425598,0.050624102799789635,2.49392452451381,2.527656520735827e-05,1.0021482465393508,A_watch
171.662,0.2,3.3076503607507575,0.15116470771309454,0.5,40.0,hard,201,12,0.050991300812480704,2.4878828817869834,0.05089060089555964,2.48953539364491,1.37812761520423e-06,1.001978752758839,A_watch
