m0,group
27.7179,A_watch
109.099,A_watch
171.662,A_watch
199.64,A_watch
1006.7750623057208,B_top50_Beff
1006.8455026451304,B_top50_Beff
1006.847389558233,B_top50_Beff
1006.667806955117,B_top50_Beff
1006.6523547206804,B_top50_Beff
2030.5680151207928,B_top50_Beff
2030.49464222638,B_top50_Beff
1967.294630296748,B_top50_Beff
1967.253031834377,B_top50_Beff
972.1284263903436,C_random_healthy
7995.297075191229,C_random_healthy
2001.987951807229,C_random_healthy
5004.49042593301,C_random_healthy
5004.5607342274,C_random_healthy
2974.156626506024,C_random_healthy
988.068333161428,C_random_healthy
960.4618473895582,C_random_healthy
1976.1272770001533,C_random_healthy
1967.530120481928,C_random_healthy
3045.122501356521,C_random_healthy
7995.225808369285,C_random_healthy
5004.638554216867,C_random_healthy
1042.6227411820814,C_random_healthy
11992.80790048913,C_random_healthy
1024.363717421349,C_random_healthy
2030.70281124498,C_random_healthy
2001.9130145317736,C_random_healthy
2030.261044176707,C_random_healthy
2973.9148534020687,C_random_healthy
1046.0984299186366,C_random_healthy
1042.6305220883537,C_random_healthy
988.0780900580976,C_random_healthy
987.85140562249,C_random_healthy
3037.0567484143385,C_random_healthy
3045.052579103396,C_random_healthy
960.662809437848,C_random_healthy
