zone,center_type,m0,c_I,kappa,W_factor,nquad,R_jet,Q,include_B2,E_I,S_I,B_eff,local_zero_count,J_max,J_rms,J_0,J_1,J_2,J_3,J_4,tail_drift_rel,tail_edge,quad_drift_rel,kappa_drift_rel,B2_drift_rel,status,param_hash
199.64,random,199.64,0.1,0.5,40.0,401,4,3.458638678192063,True,0.07656169918281865,0.2773134277217231,2.070843720109992,12,0.2764384754499653,0.16610361815144814,0.2764384754499653,-0.000967580501586051,0.15546326309145453,-0.0004314141250909649,0.19329738902709523,0.044641799297544096,False,7.051067572278055e-08,7.121680854057858,9.067943453701967e-05,reject_tail_unstable,db29db17e117
199.64,random,199.64,0.2,0.5,40.0,401,4,3.458638678192063,True,0.07699463707114781,0.2797547562957244,2.066299483446346,12,0.2764384754499653,0.16610361815144814,0.2764384754499653,-0.000967580501586051,0.15546326309145453,-0.0004314141250909649,0.19329738902709523,0.044532892573119494,False,2.845922445676839e-07,7.10476734554812,9.042365876540246e-05,reject_tail_unstable,db29db17e117
199.64,random,199.64,0.5,0.5,40.0,401,4,3.458638678192063,True,0.0801344674847871,0.29687676311589045,2.034088105129918,12,0.2764384754499653,0.16610361815144814,0.2764384754499653,-0.000967580501586051,0.15546326309145453,-0.0004314141250909649,0.19329738902709523,0.04376127819679177,False,1.8925265908851278e-06,6.984413540468426,8.861557588541189e-05,reject_tail_unstable,db29db17e117
199.64,random,199.64,1.0,0.5,40.0,401,4,3.458638678192063,True,0.09308832372943136,0.3638781440240535,1.9133324409366619,12,0.2764384754499653,0.16610361815144814,0.2764384754499653,-0.000967580501586051,0.15546326309145453,-0.0004314141250909649,0.19329738902709523,0.04089178414563026,False,9.326601506616278e-06,6.52862746520446,8.19522535599793e-05,reject_tail_unstable,db29db17e117
199.64,uniform,199.64,0.1,0.5,40.0,401,4,3.458638678192063,True,0.07656169918281865,0.2773134277217231,2.070843720109992,12,0.2764384754499653,0.16610361815144814,0.2764384754499653,-0.000967580501586051,0.15546326309145453,-0.0004314141250909649,0.19329738902709523,0.044641799297544096,False,7.051067572278055e-08,7.121680854057858,9.067943453701967e-05,reject_tail_unstable,db29db17e117
199.64,uniform,199.64,0.2,0.5,40.0,401,4,3.458638678192063,True,0.07699463707114781,0.2797547562957244,2.066299483446346,12,0.2764384754499653,0.16610361815144814,0.2764384754499653,-0.000967580501586051,0.15546326309145453,-0.0004314141250909649,0.19329738902709523,0.044532892573119494,False,2.845922445676839e-07,7.10476734554812,9.042365876540246e-05,reject_tail_unstable,db29db17e117
199.64,uniform,199.64,0.5,0.5,40.0,401,4,3.458638678192063,True,0.0801344674847871,0.29687676311589045,2.034088105129918,12,0.2764384754499653,0.16610361815144814,0.2764384754499653,-0.000967580501586051,0.15546326309145453,-0.0004314141250909649,0.19329738902709523,0.04376127819679177,False,1.8925265908851278e-06,6.984413540468426,8.861557588541189e-05,reject_tail_unstable,db29db17e117
199.64,uniform,199.64,1.0,0.5,40.0,401,4,3.458638678192063,True,0.09308832372943136,0.3638781440240535,1.9133324409366619,12,0.2764384754499653,0.16610361815144814,0.2764384754499653,-0.000967580501586051,0.15546326309145453,-0.0004314141250909649,0.19329738902709523,0.04089178414563026,False,9.326601506616278e-06,6.52862746520446,8.19522535599793e-05,reject_tail_unstable,db29db17e117
27.7179,random,27.7179,0.1,0.5,40.0,401,4,1.4842013474668494,True,0.005639405963771956,0.07548784211104471,13.112890793795277,11,0.20191055256655843,0.10351901441693542,0.07495431866271501,0.0010851524450674961,0.08481391498547691,0.0005769526418156778,0.20191055256655843,0.010557274785352323,True,1.4229792260699898e-07,3.287280326003675,0.017413388912181034,reject_tail_edge,db29db17e117
27.7179,random,27.7179,0.2,0.5,40.0,401,4,1.4842013474668494,True,0.00570391617740279,0.07688193134710558,13.08408623300138,11,0.20191055256655843,0.10351901441693542,0.07495431866271501,0.0010851524450674961,0.08481391498547691,0.0005769526418156778,0.20191055256655843,0.010501275491478019,True,5.791989438656734e-07,3.257036647777496,0.017314020866051473,reject_tail_edge,db29db17e117
27.7179,random,27.7179,0.5,0.5,40.0,401,4,1.4842013474668494,True,0.006188319283413971,0.086654684211093,12.877666058419937,11,0.20191055256655843,0.10351901441693542,0.07495431866271501,0.0010851524450674961,0.08481391498547691,0.0005769526418156778,0.20191055256655843,0.010101634274868035,True,4.073073207613144e-06,3.043061388709434,0.016606807720660623,reject_tail_edge,db29db17e117
27.7179,random,27.7179,1.0,0.5,40.0,401,4,1.4842013474668494,True,0.008499293920245544,0.12821823063217416,12.074074782164976,11,0.20191055256655843,0.10351901441693542,0.07495431866271501,0.0010851524450674961,0.08481391498547691,0.0005769526418156778,0.20191055256655843,0.008607044461012441,True,2.35984575195163e-05,2.267425320318832,0.013989150460318765,reject_tail_edge,db29db17e117
27.7179,uniform,27.7179,0.1,0.5,40.0,401,4,1.4842013474668494,True,0.005639405963771956,0.07548784211104471,13.112890793795277,11,0.20191055256655843,0.10351901441693542,0.07495431866271501,0.0010851524450674961,0.08481391498547691,0.0005769526418156778,0.20191055256655843,0.010557274785352323,True,1.4229792260699898e-07,3.287280326003675,0.017413388912181034,reject_tail_edge,db29db17e117
27.7179,uniform,27.7179,0.2,0.5,40.0,401,4,1.4842013474668494,True,0.00570391617740279,0.07688193134710558,13.08408623300138,11,0.20191055256655843,0.10351901441693542,0.07495431866271501,0.0010851524450674961,0.08481391498547691,0.0005769526418156778,0.20191055256655843,0.010501275491478019,True,5.791989438656734e-07,3.257036647777496,0.017314020866051473,reject_tail_edge,db29db17e117
27.7179,uniform,27.7179,0.5,0.5,40.0,401,4,1.4842013474668494,True,0.006188319283413971,0.086654684211093,12.877666058419937,11,0.20191055256655843,0.10351901441693542,0.07495431866271501,0.0010851524450674961,0.08481391498547691,0.0005769526418156778,0.20191055256655843,0.010101634274868035,True,4.073073207613144e-06,3.043061388709434,0.016606807720660623,reject_tail_edge,db29db17e117
27.7179,uniform,27.7179,1.0,0.5,40.0,401,4,1.4842013474668494,True,0.008499293920245544,0.12821823063217416,12.074074782164976,11,0.20191055256655843,0.10351901441693542,0.07495431866271501,0.0010851524450674961,0.08481391498547691,0.0005769526418156778,0.20191055256655843,0.008607044461012441,True,2.35984575195163e-05,2.267425320318832,0.013989150460318765,reject_tail_edge,db29db17e117
109.099,random,109.099,0.1,0.5,40.0,401,4,2.854378660484831,True,0.03041997597412459,0.1754094100571835,3.329972673055658,13,0.17424440321708967,0.10698562625442394,0.17424440321708967,0.00659167645675482,0.10094391509893724,0.0034904355286573038,0.1289309960350303,0.1064402417618986,False,7.281855843568724e-08,6.962751454820996,0.0004817589820140866,reject_tail_unstable,db29db17e117
109.099,random,109.099,0.2,0.5,40.0,401,4,2.854378660484831,True,0.03059763617523149,0.17759490016451368,3.3244206527237954,13,0.17424440321708967,0.10698562625442394,0.17424440321708967,0.00659167645675482,0.10094391509893724,0.0034904355286573038,0.1289309960350303,0.1062000450043045,False,2.939740797394443e-07,6.945325748971863,0.00048035102759240645,reject_tail_unstable,db29db17e117
109.099,random,109.099,0.5,0.5,40.0,401,4,2.854378660484831,True,0.03188739071261123,0.19057383309919773,3.285055886981954,13,0.17424440321708967,0.10698562625442394,0.17424440321708967,0.00659167645675482,0.10094391509893724,0.0034904355286573038,0.1289309960350303,0.10449780899050919,False,1.95792286304557e-06,6.821312337891185,0.00047039884671147905,reject_tail_unstable,db29db17e117
109.099,random,109.099,1.0,0.5,40.0,401,4,2.854378660484831,True,0.0372306679995735,0.23771064418259938,3.137349775002494,13,0.17424440321708967,0.10698562625442394,0.17424440321708967,0.00659167645675482,0.10094391509893724,0.0034904355286573038,0.1289309960350303,0.09815950542933004,False,9.695315586229898e-06,6.351634540015429,0.00043374558030799494,reject_tail_unstable,db29db17e117
109.099,uniform,109.099,0.1,0.5,40.0,401,4,2.854378660484831,True,0.03041997597412459,0.1754094100571835,3.329972673055658,13,0.17424440321708967,0.10698562625442394,0.17424440321708967,0.00659167645675482,0.10094391509893724,0.0034904355286573038,0.1289309960350303,0.1064402417618986,False,7.281855843568724e-08,6.962751454820996,0.0004817589820140866,reject_tail_unstable,db29db17e117
109.099,uniform,109.099,0.2,0.5,40.0,401,4,2.854378660484831,True,0.03059763617523149,0.17759490016451368,3.3244206527237954,13,0.17424440321708967,0.10698562625442394,0.17424440321708967,0.00659167645675482,0.10094391509893724,0.0034904355286573038,0.1289309960350303,0.1062000450043045,False,2.939740797394443e-07,6.945325748971863,0.00048035102759240645,reject_tail_unstable,db29db17e117
109.099,uniform,109.099,0.5,0.5,40.0,401,4,2.854378660484831,True,0.03188739071261123,0.19057383309919773,3.285055886981954,13,0.17424440321708967,0.10698562625442394,0.17424440321708967,0.00659167645675482,0.10094391509893724,0.0034904355286573038,0.1289309960350303,0.10449780899050919,False,1.95792286304557e-06,6.821312337891185,0.00047039884671147905,reject_tail_unstable,db29db17e117
109.099,uniform,109.099,1.0,0.5,40.0,401,4,2.854378660484831,True,0.0372306679995735,0.23771064418259938,3.137349775002494,13,0.17424440321708967,0.10698562625442394,0.17424440321708967,0.00659167645675482,0.10094391509893724,0.0034904355286573038,0.1289309960350303,0.09815950542933004,False,9.695315586229898e-06,6.351634540015429,0.00043374558030799494,reject_tail_unstable,db29db17e117
171.662,random,171.662,0.1,0.5,40.0,401,4,3.3076503607507575,True,0.050624099476318504,0.22598550721096497,2.4939245793941716,12,0.22480158812396708,0.12885805148746757,0.22480158812396708,-0.005949926870736315,0.11757816679892967,-0.0027987388386124337,0.1364491600048373,0.1323792592389692,False,6.564998023915739e-08,7.506346313751543,0.00015083040368957045,reject_tail_unstable,db29db17e117
171.662,random,171.662,0.2,0.5,40.0,401,4,3.3076503607507575,True,0.05089058741923862,0.2283559955916971,2.489535615013605,12,0.22480158812396708,0.12885805148746757,0.22480158812396708,-0.005949926870736315,0.11757816679892967,-0.0027987388386124337,0.1364491600048373,0.13212641245167886,False,2.6480969679849744e-07,7.490830523466063,0.00015043390326515476,reject_tail_unstable,db29db17e117
171.662,random,171.662,0.5,0.5,40.0,401,4,3.3076503607507575,True,0.05281851966900237,0.24289410016671645,2.458451587682235,12,0.22480158812396708,0.12885805148746757,0.22480158812396708,-0.005949926870736315,0.11757816679892967,-0.0027987388386124337,0.1364491600048373,0.130334877119663,False,1.7536002495809521e-06,7.380447797230185,0.00014763302900778236,reject_tail_unstable,db29db17e117
171.662,random,171.662,1.0,0.5,40.0,401,4,3.3076503607507575,True,0.06069229802733262,0.2961152847205345,2.3422916640463898,12,0.22480158812396708,0.12885805148746757,0.22480158812396708,-0.005949926870736315,0.11757816679892967,-0.0027987388386124337,0.1364491600048373,0.12366012621789804,False,8.528782059572082e-06,6.9623876364610995,0.0001373289798215951,reject_tail_unstable,db29db17e117
171.662,uniform,171.662,0.1,0.5,40.0,401,4,3.3076503607507575,True,0.050624099476318504,0.22598550721096497,2.4939245793941716,12,0.22480158812396708,0.12885805148746757,0.22480158812396708,-0.005949926870736315,0.11757816679892967,-0.0027987388386124337,0.1364491600048373,0.1323792592389692,False,6.564998023915739e-08,7.506346313751543,0.00015083040368957045,reject_tail_unstable,db29db17e117
171.662,uniform,171.662,0.2,0.5,40.0,401,4,3.3076503607507575,True,0.05089058741923862,0.2283559955916971,2.489535615013605,12,0.22480158812396708,0.12885805148746757,0.22480158812396708,-0.005949926870736315,0.11757816679892967,-0.0027987388386124337,0.1364491600048373,0.13212641245167886,False,2.6480969679849744e-07,7.490830523466063,0.00015043390326515476,reject_tail_unstable,db29db17e117
171.662,uniform,171.662,0.5,0.5,40.0,401,4,3.3076503607507575,True,0.05281851966900237,0.24289410016671645,2.458451587682235,12,0.22480158812396708,0.12885805148746757,0.22480158812396708,-0.005949926870736315,0.11757816679892967,-0.0027987388386124337,0.1364491600048373,0.130334877119663,False,1.7536002495809521e-06,7.380447797230185,0.00014763302900778236,reject_tail_unstable,db29db17e117
171.662,uniform,171.662,1.0,0.5,40.0,401,4,3.3076503607507575,True,0.06069229802733262,0.2961152847205345,2.3422916640463898,12,0.22480158812396708,0.12885805148746757,0.22480158812396708,-0.005949926870736315,0.11757816679892967,-0.0027987388386124337,0.1364491600048373,0.12366012621789804,False,8.528782059572082e-06,6.9623876364610995,0.0001373289798215951,reject_tail_unstable,db29db17e117
