zone,center_type,m0,c_I,kappa,W_factor,nquad,R_jet,Q,include_B2,cutoff_mode,include_density_tail,E_I,S_I,B_eff,local_zero_count,J_max,J_rms,J_0,J_1,J_2,J_3,J_4,tail_drift_rel,tail_edge,quad_drift_rel,eta_drift_rel,eta_kappa_drift_rel,eta_fixed_drift_rel,eta_lambda_drift_rel,kappa_drift_rel,B2_drift_rel,smooth_drift_rel,density_drift_rel,tail_drift_density_rel,status,param_hash
27.7179,random,27.7179,0.05,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.005623452364646949,0.07511465829861222,13.120065080122052,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.010571227886641216,True,1.5741767930729307e-08,3.294826537944288,3.294826537944288,0.9970611713032962,0.9999963361985305,3.294826537944288,0.01743815871305614,0.00022001151132696454,0.00034331079394086373,0.015289429293130902,reject_tail_edge,454783ebc5e4
27.7179,random,27.7179,0.1,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.005639405815173063,0.07548784211110277,13.112890860525194,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.01055727491543207,True,6.324352701201889e-08,3.2872803963019743,3.2872803963019743,0.9970593505239436,0.9998431742665694,3.2872803963019743,0.017413389143047773,0.00021970277311849596,0.000342824296201583,0.015266689689283117,reject_tail_edge,454783ebc5e4
27.7179,random,27.7179,0.2,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.005703915565613723,0.07688193134717138,13.084086504624645,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.010501276024289732,True,2.5742185069335367e-07,3.257036934666708,3.257036934666708,0.9970520205435547,0.9988593035642035,3.257036934666708,0.017314021810613735,0.00021846406533537803,0.0003408725134166442,0.015175478387813643,reject_tail_edge,454783ebc5e4
27.7179,random,27.7179,0.5,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.006188314615730521,0.0866546842111906,12.87766796856879,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.010101638143931712,True,1.8102595057096307e-06,3.043063425083242,3.043063425083242,0.9969986619763136,1.9760479188014062,3.043063425083242,0.01660681452981741,0.00020964138517284782,0.00032697656051175716,0.01452705526604948,reject_tail_edge,454783ebc5e4
27.7179,random,27.7179,1.0,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.008499256777160255,0.1282182306323769,12.074085849280461,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.00860706688385261,True,1.0488351506683214e-05,2.2674364154327615,2.2674364154327615,0.9967818580777662,2.2674364154327615,2.2674364154327615,0.013989189102920992,0.00017689993710224455,0.00027548516665036555,0.012139269819183493,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,0.05,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.005623452364646949,0.07511465829861222,13.120065080122052,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.010571227886641216,True,1.5741767930729307e-08,3.294826537944288,3.294826537944288,0.9970611713032962,0.9999963361985305,3.294826537944288,0.01743815871305614,0.00022001151132696454,0.00034331079394086373,0.015289429293130902,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,0.1,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.005639405815173063,0.07548784211110277,13.112890860525194,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.01055727491543207,True,6.324352701201889e-08,3.2872803963019743,3.2872803963019743,0.9970593505239436,0.9998431742665694,3.2872803963019743,0.017413389143047773,0.00021970277311849596,0.000342824296201583,0.015266689689283117,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,0.2,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.005703915565613723,0.07688193134717138,13.084086504624645,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.010501276024289732,True,2.5742185069335367e-07,3.257036934666708,3.257036934666708,0.9970520205435547,0.9988593035642035,3.257036934666708,0.017314021810613735,0.00021846406533537803,0.0003408725134166442,0.015175478387813643,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,0.5,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.006188314615730521,0.0866546842111906,12.87766796856879,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.010101638143931712,True,1.8102595057096307e-06,3.043063425083242,3.043063425083242,0.9969986619763136,1.9760479188014062,3.043063425083242,0.01660681452981741,0.00020964138517284782,0.00032697656051175716,0.01452705526604948,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,1.0,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.008499256777160255,0.1282182306323769,12.074085849280461,11,0.2019106596890127,0.1035190562047429,0.07495431866276643,0.001085152445128416,0.08481391498494369,0.0005769527271292642,0.2019106596890127,0.00860706688385261,True,1.0488351506683214e-05,2.2674364154327615,2.2674364154327615,0.9967818580777662,2.2674364154327615,2.2674364154327615,0.013989189102920992,0.00017689993710224455,0.00027548516665036555,0.012139269819183493,reject_tail_edge,454783ebc5e4
