zone,center_type,m0,c_I,kappa,W_factor,nquad,R_jet,Q,E_I,S_I,B_eff,local_zero_count,J_max,J_rms,J_0,J_1,J_2,J_3,J_4,tail_drift_rel,quad_drift_rel,status,param_hash
2118.31,small_gap_midpoint,2117.3112277548785,0.2,0.5,40.0,401,4,5.820025207502924,1034.433425383185,33.44216351467075,-3.9411747227752607,15,539.4683197415741,245.21939276566437,31.530638189138443,0.07882330198793609,92.9650244344711,0.042557954808853354,539.4683197415741,0.0,1.5611954698526602e-06,healthy,bfb6a801d2e7
2118.31,small_gap_midpoint,2117.3112277548785,0.5,0.5,40.0,401,4,5.820025207502924,1289.3817540579962,44.708562183420185,-4.0662575631963565,15,539.4683197415741,245.21939276566437,31.530638189138443,0.07882330198793609,92.9650244344711,0.042557954808853354,539.4683197415741,0.0,1.2794343542366084e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,small_gap_midpoint,2119.0375373429843,0.2,0.5,40.0,401,4,5.820840206351878,901.0486748237904,31.17309061779762,-3.8624883319346353,15,474.1409822498343,215.75102089617872,29.446379512207443,-0.0675781392379027,84.05800887315917,-0.0367556405912819,474.1409822498343,0.0,1.5090574924561538e-06,healthy,bfb6a801d2e7
2118.31,small_gap_midpoint,2119.0375373429843,0.5,0.5,40.0,401,4,5.820840206351878,1114.9060552377784,41.31917385403666,-3.983392584997816,15,474.1409822498343,215.75102089617872,29.446379512207443,-0.0675781392379027,84.05800887315917,-0.0367556405912819,474.1409822498343,0.0,1.22850972036039e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,random,2119.4056934985715,0.2,0.5,40.0,401,4,5.8210139287006095,1159626.554744513,2524.7057625651046,-7.927227379034405,15,5288264.431524367,2365216.061036848,61.527765283268636,-8800.113686972407,-63780.73985937505,-36728.06343926939,5288264.431524367,0.0,3.291148472695632e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,random,2119.4056934985715,0.5,0.5,40.0,401,4,5.8210139287006095,2613243.002889354,3154.5277380323696,-8.388485251394949,15,5288264.431524367,2365216.061036848,61.527765283268636,-8800.113686972407,-63780.73985937505,-36728.06343926939,5288264.431524367,0.0,1.7029198592907922e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,random,2116.468293710111,0.2,0.5,40.0,401,4,5.819627012910301,204.85748664619416,18.552386444654378,-3.021919849938892,15,192.67426223471955,94.77176301015832,13.891132851089974,19.111809605342085,36.09174180756643,76.96898938918889,192.67426223471955,0.0,2.3263044295432754e-06,healthy,bfb6a801d2e7
2118.31,random,2116.468293710111,0.5,0.5,40.0,401,4,5.819627012910301,279.8537842667715,30.249304998725265,-3.199041307183855,15,192.67426223471955,94.77176301015832,13.891132851089974,19.111809605342085,36.09174180756643,76.96898938918889,192.67426223471955,0.0,1.7164613257270605e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,random,2114.6377881914896,0.2,0.5,40.0,401,4,5.818761751866312,12208.820524250472,164.78063943449692,-5.343240503995961,15,5866.447422588143,2774.3670288822364,102.57234175008573,-232.86294450214285,633.5293293773327,-1898.4865143997115,5866.447422588143,1.1925454944404915e-06,5.921942553782858e-06,healthy,bfb6a801d2e7
2118.31,random,2114.6377881914896,0.5,0.5,40.0,401,4,5.818761751866312,24914.095709379024,355.97188559808836,-5.748260163248615,15,5866.447422588143,2774.3670288822364,102.57234175008573,-232.86294450214285,633.5293293773327,-1898.4865143997115,5866.447422588143,7.152544097951135e-07,4.11894693866882e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,random,2114.442221084228,0.2,0.5,40.0,401,4,5.818669265033728,1601565.1114621107,2815.3357955970655,-8.112385668691411,15,7150813.354938628,3198615.450679558,-201.4314238334881,10514.214809490093,-62517.66405135994,-132488.94993623334,7150813.354938628,4.1391937142764314e-08,2.1083913803649982e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,random,2114.442221084228,0.5,0.5,40.0,401,4,5.818669265033728,2617884.330124031,3150.820773377851,-8.391411883083252,15,7150813.354938628,3198615.450679558,-201.4314238334881,10514.214809490093,-62517.66405135994,-132488.94993623334,7150813.354938628,3.3408849266459327e-08,1.0135824126905067e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,uniform,2114.31,0.2,0.5,40.0,401,4,5.818606730708065,449150.69147597987,789.4506633774205,-7.390496360214061,15,1134604.3815457555,514379.1030083224,789.4382863744496,21.750639956339448,-18684.593033515837,-187756.40530399792,-1134604.3815457555,3.2184449555358746e-07,4.80044335681183e-06,healthy,bfb6a801d2e7
2118.31,uniform,2114.31,0.5,0.5,40.0,401,4,5.818606730708065,1435519.2790340402,3150.6412359703195,-8.050282471089059,15,1134604.3815457555,514379.1030083224,789.4382863744496,21.750639956339448,-18684.593033515837,-187756.40530399792,-1134604.3815457555,2.1142248857437888e-08,8.09153982081627e-07,healthy,bfb6a801d2e7
2118.31,uniform,2115.91,0.2,0.5,40.0,401,4,5.819363192583002,327.76189407513755,23.941796140733317,-3.2888471168903584,15,308.0053791496263,149.8905687707403,17.48805692803134,-26.18705421641183,51.82721917065766,-117.43485366942953,308.0053791496263,5.4944072317129476e-06,2.7024745093329963e-06,healthy,bfb6a801d2e7
2118.31,uniform,2115.91,0.5,0.5,40.0,401,4,5.819363192583002,469.2256611698444,40.62323638227138,-3.4925708625858682,15,308.0053791496263,149.8905687707403,17.48805692803134,-26.18705421641183,51.82721917065766,-117.43485366942953,308.0053791496263,4.234604831122106e-06,2.009120102572239e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,uniform,2117.5099999999998,0.2,0.5,40.0,401,4,5.82011908265589,28585.86997383608,255.8339715787912,-5.8255533401464366,15,8270.115645006032,3984.1029280810485,155.89628115799098,370.3083943803071,1059.1193808262688,3112.4591733349935,8270.115645006032,0.0,6.413192833288147e-06,healthy,bfb6a801d2e7
2118.31,uniform,2117.5099999999998,0.5,0.5,40.0,401,4,5.82011908265589,59942.43146787638,548.7144737250823,-6.245960638923781,15,8270.115645006032,3984.1029280810485,155.89628115799098,370.3083943803071,1059.1193808262688,3112.4591733349935,8270.115645006032,0.0,3.665674926154582e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,uniform,2119.11,0.2,0.5,40.0,401,4,5.8208744017905145,1503.3540443907475,48.971962163069,-4.153085174154227,15,919.1703088903604,431.8023404704061,37.5540978438387,41.805875599277805,132.1683056863079,258.3906865688576,919.1703088903604,0.0,2.536483191381355e-06,healthy,bfb6a801d2e7
2118.31,uniform,2119.11,0.5,0.5,40.0,401,4,5.8208744017905145,2129.3410708102556,83.66325284522999,-4.3507143074405334,15,919.1703088903604,431.8023404704061,37.5540978438387,41.805875599277805,132.1683056863079,258.3906865688576,919.1703088903604,0.0,2.105235275037958e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,uniform,2120.71,0.2,0.5,40.0,401,4,5.8216291508487075,5067128.502142143,3156.516276121354,-8.76388445059393,15,1404592.5568247666,845537.1124214372,-2376.1707867017763,12956.274801469064,66504.6343289169,-1263799.198484796,-1404592.5568247666,0.0,7.1563639077452275e-06,healthy,bfb6a801d2e7
2118.31,uniform,2120.71,0.5,0.5,40.0,401,4,5.8216291508487075,2591173.883355681,3156.522719028895,-8.38316758189342,15,1404592.5568247666,845537.1124214372,-2376.1707867017763,12956.274801469064,66504.6343289169,-1263799.198484796,-1404592.5568247666,0.0,1.555884592599362e-06,healthy,bfb6a801d2e7
2118.31,uniform,2122.31,0.2,0.5,40.0,401,4,5.822383330690347,151548.4255990486,590.427313719937,-6.77107050949002,15,43935.59651321079,19703.9874902382,358.6875194260482,938.0272153256885,2326.1785466606325,2116.439387610576,-43935.59651321079,1.45533726243901e-07,5.497870138405347e-06,healthy,bfb6a801d2e7
2118.31,uniform,2122.31,0.5,0.5,40.0,401,4,5.822383330690347,226134.74970610725,790.2065811848252,-6.998250871763184,15,43935.59651321079,19703.9874902382,358.6875194260482,938.0272153256885,2326.1785466606325,2116.439387610576,-43935.59651321079,1.0670420258805753e-07,2.692794354469353e-05,reject_quad_unstable,bfb6a801d2e7
