zone,center_type,m0,c_I,kappa,W_factor,nquad,R_jet,Q,include_B2,cutoff_mode,include_density_tail,E_I,S_I,B_eff,local_zero_count,J_max,J_rms,J_0,J_1,J_2,J_3,J_4,tail_drift_rel,tail_edge,quad_drift_rel,eta_drift_rel,eta_kappa_drift_rel,eta_fixed_drift_rel,eta_lambda_drift_rel,kappa_drift_rel,B2_drift_rel,smooth_drift_rel,density_drift_rel,tail_drift_density_rel,status,param_hash
27.7179,random,27.7179,0.05,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.0056234523646469,0.0751146582986122,13.120065080122052,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.0105712278866412,True,1.574176793072931e-08,3.294826537944288,3.294826537944288,0.9970611713032962,0.9999963361985303,3.294826537944288,0.0174381587130561,0.0002200115113269,0.0003433107939408,0.0152894292931309,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,0.05,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.0056234523646469,0.0751146582986122,13.120065080122052,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.0105712278866412,True,1.574176793072931e-08,3.294826537944288,3.294826537944288,0.9970611713032962,0.9999963361985303,3.294826537944288,0.0174381587130561,0.0002200115113269,0.0003433107939408,0.0152894292931309,reject_tail_edge,454783ebc5e4
27.7179,random,27.7179,0.1,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.005639405815173,0.0754878421111027,13.112890860525194,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.010557274915432,True,6.324352701201889e-08,3.2872803963019743,3.2872803963019743,0.9970593505239436,0.9998431742665694,3.2872803963019743,0.0174133891430477,0.0002197027731184,0.0003428242962015,0.0152666896892831,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,0.1,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.005639405815173,0.0754878421111027,13.112890860525194,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.010557274915432,True,6.324352701201889e-08,3.2872803963019743,3.2872803963019743,0.9970593505239436,0.9998431742665694,3.2872803963019743,0.0174133891430477,0.0002197027731184,0.0003428242962015,0.0152666896892831,reject_tail_edge,454783ebc5e4
27.7179,random,27.7179,0.2,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.0057039155656137,0.0768819313471713,13.084086504624644,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.0105012760242897,True,2.574218506933537e-07,3.257036934666708,3.257036934666708,0.9970520205435548,0.9988593035642036,3.257036934666708,0.0173140218106137,0.0002184640653353,0.0003408725134166,0.0151754783878136,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,0.2,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.0057039155656137,0.0768819313471713,13.084086504624644,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.0105012760242897,True,2.574218506933537e-07,3.257036934666708,3.257036934666708,0.9970520205435548,0.9988593035642036,3.257036934666708,0.0173140218106137,0.0002184640653353,0.0003408725134166,0.0151754783878136,reject_tail_edge,454783ebc5e4
27.7179,random,27.7179,0.5,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.0061883146157305,0.0866546842111906,12.87766796856879,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.0101016381439317,True,1.8102595057096309e-06,3.043063425083242,3.043063425083242,0.9969986619763136,1.9760479188014064,3.043063425083242,0.0166068145298174,0.0002096413851728,0.0003269765605117,0.0145270552660494,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,0.5,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.0061883146157305,0.0866546842111906,12.87766796856879,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.0101016381439317,True,1.8102595057096309e-06,3.043063425083242,3.043063425083242,0.9969986619763136,1.9760479188014064,3.043063425083242,0.0166068145298174,0.0002096413851728,0.0003269765605117,0.0145270552660494,reject_tail_edge,454783ebc5e4
27.7179,random,27.7179,1.0,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.0084992567771602,0.1282182306323769,12.07408584928046,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.0086070668838526,True,1.0488351506683214e-05,2.267436415432761,2.267436415432761,0.9967818580777662,2.267436415432761,2.267436415432761,0.0139891891029209,0.0001768999371022,0.0002754851666503,0.0121392698191834,reject_tail_edge,454783ebc5e4
27.7179,uniform,27.7179,1.0,0.5,40.0,601,4,1.4842013474668494,True,hard,True,0.0084992567771602,0.1282182306323769,12.07408584928046,11,0.2019106596890127,0.1035190562047429,0.0749543186627664,0.0010851524451284,0.0848139149849436,0.0005769527271292,0.2019106596890127,0.0086070668838526,True,1.0488351506683214e-05,2.267436415432761,2.267436415432761,0.9967818580777662,2.267436415432761,2.267436415432761,0.0139891891029209,0.0001768999371022,0.0002754851666503,0.0121392698191834,reject_tail_edge,454783ebc5e4
109.099,random,109.099,0.05,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0303758113051245,0.174700273241714,3.3313578857051827,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.1065001710012466,False,8.072263063695745e-09,6.967096339826811,6.967096339826811,0.986360142877004,0.9998997520756128,6.967096339826811,0.0004821104070448,0.0008647109487888,0.0013145365019167,0.0260183146739877,artifact_eta,454783ebc5e4
109.099,uniform,109.099,0.05,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0303758113051245,0.174700273241714,3.3313578857051827,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.1065001710012466,False,8.072263063695745e-09,6.967096339826811,6.967096339826811,0.986360142877004,0.9998997520756128,6.967096339826811,0.0004821104070448,0.0008647109487888,0.0013145365019167,0.0260183146739877,artifact_eta,454783ebc5e4
109.099,random,109.099,0.1,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0304199755639136,0.1754094100571835,3.3299726859124674,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.1064402423188448,False,3.2363805338806024e-08,6.962751495214337,6.962751495214337,0.9863594979112664,0.9995892777018168,6.962751495214337,0.0004817589852791,0.0008640902102537,0.0013135789436867,0.0260157487873351,artifact_eta,454783ebc5e4
109.099,uniform,109.099,0.1,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0304199755639136,0.1754094100571835,3.3299726859124674,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.1064402423188448,False,3.2363805338806024e-08,6.962751495214337,6.962751495214337,0.9863594979112664,0.9995892777018168,6.962751495214337,0.0004817589852791,0.0008640902102537,0.0013135789436867,0.0260157487873351,artifact_eta,454783ebc5e4
109.099,random,109.099,0.2,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0305976345095067,0.1775949001645136,3.324420704627727,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.106200047261231,False,1.3065517219655054e-07,6.945325912942322,6.945325912942322,0.9863569051814434,0.9983372702136816,6.945325912942322,0.0004803510408103,0.000861603191978,0.0013097425403792,0.0260054017863893,artifact_eta,454783ebc5e4
109.099,uniform,109.099,0.2,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0305976345095067,0.1775949001645136,3.324420704627727,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.106200047261231,False,1.3065517219655054e-07,6.945325912942322,6.945325912942322,0.9863569051814434,0.9983372702136816,6.945325912942322,0.0004803510408103,0.000861603191978,0.0013097425403792,0.0260054017863893,artifact_eta,454783ebc5e4
109.099,random,109.099,0.5,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0318873791509213,0.1905738330991977,3.2850562326723365,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.10449782437686,False,8.701890637516249e-07,6.821313469014057,6.821313469014057,0.9863381751118064,2.4414314095546907,6.821313469014057,0.0004703989361584,0.0008440201062035,0.0012826239192453,0.0259291297281386,artifact_eta,454783ebc5e4
109.099,uniform,109.099,0.5,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0318873791509213,0.1905738330991977,3.2850562326723365,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.10449782437686,False,8.701890637516249e-07,6.821313469014057,6.821313469014057,0.9863381751118064,2.4414314095546907,6.821313469014057,0.0004703989361584,0.0008440201062035,0.0012826239192453,0.0259291297281386,artifact_eta,454783ebc5e4
109.099,random,109.099,1.0,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0372306011541825,0.2377106441825993,3.137351486813888,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.0981595853601513,False,4.309055868452968e-06,6.351640646632564,6.351640646632564,0.9862627362544476,6.351640646632564,6.351640646632564,0.0004337460327816,0.0007792092050617,0.001182736169274,0.0255964448147148,artifact_eta,454783ebc5e4
109.099,uniform,109.099,1.0,0.5,40.0,601,4,2.854378660484831,True,hard,True,0.0372306011541825,0.2377106441825993,3.137351486813888,13,0.1742444032170896,0.1069856262544239,0.1742444032170896,0.0065916764567548,0.1009439150989372,0.0034904355286573,0.1289309960350303,0.0981595853601513,False,4.309055868452968e-06,6.351640646632564,6.351640646632564,0.9862627362544476,6.351640646632564,6.351640646632564,0.0004337460327816,0.0007792092050617,0.001182736169274,0.0255964448147148,artifact_eta,454783ebc5e4
171.662,random,171.662,0.05,0.5,40.0,601,4,3.307650360750757,True,hard,True,0.0505578176368736,0.2252461510286749,2.495019806249717,12,0.224801588123967,0.1288580514874675,0.224801588123967,-0.0059499268707363,0.1175781667989296,-0.0027987388386124,0.1364491600048373,0.1324423474712479,False,7.279142672892993e-09,7.510215249307979,7.510215249307979,0.98172775310043,0.9998969558736976,7.510215249307979,0.0001509293815301,0.0012754462030138,0.0015962312261281,0.0362898724191099,artifact_eta,454783ebc5e4
171.662,uniform,171.662,0.05,0.5,40.0,601,4,3.307650360750757,True,hard,True,0.0505578176368736,0.2252461510286749,2.495019806249717,12,0.224801588123967,0.1288580514874675,0.224801588123967,-0.0059499268707363,0.1175781667989296,-0.0027987388386124,0.1364491600048373,0.1324423474712479,False,7.279142672892993e-09,7.510215249307979,7.510215249307979,0.98172775310043,0.9998969558736976,7.510215249307979,0.0001509293815301,0.0012754462030138,0.0015962312261281,0.0362898724191099,artifact_eta,454783ebc5e4
