E_X,N,R,S_X,X0,classification,control,jet_max_fit_proxy,moment_max
2.2250935774963637e-30,15,12,1.149080830487037e-14,0.25,pass,sine_quadrature_negative,876594837966.5994,4.0592529337857286e-16
9.677413541219181e-14,15,12,2.316948857730705e-06,0.5,pass,sine_quadrature_negative,876594837966.5994,4.0592529337857286e-16
0.00019434423989659697,15,12,0.09909484599475776,0.75,pass,sine_quadrature_negative,876594837966.5994,4.0592529337857286e-16
2.58927354322379e-32,27,24,5.551115123125783e-16,0.25,pass,sine_quadrature_negative,5.192041186452079e+45,1.6497220256539435e-15
2.0943272139820323e-27,27,24,4.657385588302532e-13,0.5,pass,sine_quadrature_negative,5.192041186452079e+45,1.6497220256539435e-15
1.3056661059309012e-09,27,24,0.00035975833103676913,0.75,pass,sine_quadrature_negative,5.192041186452079e+45,1.6497220256539435e-15
1.2296248098863073e-32,43,40,2.706168622523819e-16,0.25,pass,sine_quadrature_negative,2.329381324898499e+86,2.141082450224374e-15
9.829257951588328e-33,43,40,2.5240226575462543e-16,0.5,pass,sine_quadrature_negative,2.329381324898499e+86,2.141082450224374e-15
5.652252963742157e-17,43,40,9.6088671019956e-08,0.75,pass,sine_quadrature_negative,2.329381324898499e+86,2.141082450224374e-15
