center_type,m0,Q,c_I,Delta,kappa,eps,W_abs,W_factor_equiv,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,tail_edge,status
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,257,4,84,0.0004990417634440968,0.02236307079823022,7.2486918229447435,0.02233785117955203,0.009989795875228394,2.005534444769643e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,513,4,84,0.0004990417634440968,0.02236307175755239,7.2486918229447435,0.02233785117955203,0.009989795875228394,2.005534444552387e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,1025,4,84,0.0004990417634440968,0.02236307199902496,7.2486918229447435,0.02233785117955203,0.009989795875228394,2.005534444552387e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,257,8,84,0.0004990417634440968,0.02236307079823022,7.2486918229447435,526791.2807368352,175597.15910956776,2.005534444769643e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,513,8,84,0.0004990417634440968,0.02236307175755239,7.2486918229447435,526791.2807368352,175597.15910956776,2.005534444552387e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,1025,8,84,0.0004990417634440968,0.02236307199902496,7.2486918229447435,526791.2807368352,175597.15910956776,2.005534444552387e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,257,12,84,0.0004990417634440968,0.02236307079823022,7.2486918229447435,2.427440247815593e+19,6.732508192943288e+18,2.005534444769643e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,513,12,84,0.0004990417634440968,0.02236307175755239,7.2486918229447435,2.427440247815593e+19,6.732508192943288e+18,2.005534444552387e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,20.0,57.087573209696615,257,4,17,0.0004987840743532619,0.022357302215291905,7.249184266181017,0.022332082803812117,0.009987216180077483,0.0004670533232367634,2.1736904368715317e-16,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,20.0,57.087573209696615,513,4,17,0.0004987840743532619,0.022357303174607056,7.249184266181017,0.022332082803812117,0.009987216180077483,0.0004670533232367634,2.1736904368715317e-16,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,20.0,57.087573209696615,1025,4,17,0.0004987840743532619,0.02235730341607787,7.249184266181017,0.022332082803812117,0.009987216180077483,0.0004670533232367634,2.1736904368715317e-16,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,20.0,57.087573209696615,257,8,17,0.0004987840743532619,0.022357302215291905,7.249184266181017,469753.62809588615,156584.69473414603,0.0004670533232367634,2.1736904368715317e-16,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,20.0,57.087573209696615,513,8,17,0.0004987840743532619,0.022357303174607056,7.249184266181017,469753.62809588615,156584.69473414603,0.0004670533232367634,2.1736904368715317e-16,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,20.0,57.087573209696615,1025,8,17,0.0004987840743532619,0.02235730341607787,7.249184266181017,469753.62809588615,156584.69473414603,0.0004670533232367634,2.1736904368715317e-16,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,20.0,57.087573209696615,257,12,17,0.0004987840743532619,0.022357302215291905,7.249184266181017,1.5837188401003594e+18,4.392446433205394e+17,0.0004670533232367634,2.1736904368715317e-16,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,20.0,57.087573209696615,513,12,17,0.0004987840743532619,0.022357303174607056,7.249184266181017,1.5837188401003594e+18,4.392446433205394e+17,0.0004670533232367634,2.1736904368715317e-16,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,20.0,57.087573209696615,257,4,17,0.0019904902226764044,0.04466250744586684,5.929684414126903,0.0446121345440972,0.019951163345122484,0.00046759386677916497,0.0,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,20.0,57.087573209696615,513,4,17,0.0019904902226764044,0.04466250936163824,5.929684414126903,0.0446121345440972,0.019951163345122484,0.0004675938667793827,0.0,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,20.0,57.087573209696615,1025,4,17,0.0019904902226764044,0.04466250984386024,5.929684414126903,0.0446121345440972,0.019951163345122484,0.00046759386677916497,0.0,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,20.0,57.087573209696615,257,8,17,0.0019904902226764044,0.04466250744586684,5.929684414126903,117885.67192637039,39297.94585417027,0.00046759386677916497,0.0,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,20.0,57.087573209696615,513,8,17,0.0019904902226764044,0.04466250936163824,5.929684414126903,117885.67192637039,39297.94585417027,0.0004675938667793827,0.0,False,watch
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,20.0,57.087573209696615,1025,8,17,0.0019904902226764044,0.04466250984386024,5.929684414126903,117885.67192637039,39297.94585417027,0.00046759386677916497,0.0,False,watch
