N,smoothing,level,R,rank,t0,source_objective,J_max,E_cI_0.1,S_cI_0.1,Beff_cI_0.1,E_cI_0.2,S_cI_0.2,Beff_cI_0.2,E_cI_0.5,S_cI_0.5,Beff_cI_0.5,E_cI_1.0,S_cI_1.0,Beff_cI_1.0
200,exp,1,8,1,3721.7742560116963,0.0016033375879762274,0.03140618093350379,0.000293583863760156,0.01818188691338883,3.8605068878107662,0.0002896204860223739,0.018872206892479176,3.866958324075299,0.0002642256744916775,0.019305511092066078,3.910516079032471,0.00020700485846370843,0.019305458024453045,4.026360184881425
200,exp,1,8,2,2936.5509660649604,0.0021795108654001525,0.03430940919539061,0.0002407289811808478,0.018757874911846124,4.010389180094193,0.00024970617638829295,0.02191004664589343,3.9927660421541313,0.00031287628965246354,0.030216824018300517,3.8842144035288477,0.0005425542874831862,0.040302985885089265,3.619250066293871
200,exp,1,8,3,3931.2927957255956,0.002905848510967997,0.03771350802752487,0.0002876564587801029,0.017685598924390086,3.8580304624659294,0.0002944817532194671,0.018839876846465348,3.8469347861193777,0.00034513220026613137,0.024298212645350512,3.7718392309201043,0.0005636779553985751,0.038639475131960976,3.5397276566299842
200,exp,2,8,1,2446.277320073909,0.002579645956363719,0.04245275534774025,0.0018298856197588467,0.047279647559852755,3.0682612647090024,0.0019135513503166692,0.053471992545452464,3.046499712878757,0.0025294659354294312,0.07814539395767023,2.910672020984894,0.005162125827739098,0.1261163751584166,2.5634500416863903
200,exp,2,8,2,2202.0343046541566,0.0026302850241651443,0.03796079191743139,0.0014370195426431339,0.043192325749799254,3.207089748791504,0.0014256990278936168,0.047127386072437244,3.2109650818028674,0.0013732959751739209,0.05106609058391754,3.229314591270697,0.0014700474007890458,0.05689695874148655,3.1959554387778195
200,exp,2,8,3,3106.076592257553,0.04250144438262791,0.18954617955556782,0.0004093122643664859,0.03920441117143899,3.742277929244763,0.0010439206713611668,0.06384879734284464,3.293139064063987,0.005293920083669475,0.13223103635842715,2.5142843405688793,0.017961291243644914,0.21750220399512685,1.9282348363354593
200,exp,3,8,1,2202.0394313733486,0.0024898172461336574,0.03832980253579016,0.0014627858833184367,0.043057840738448774,3.198381352148624,0.0014444413913886013,0.04646786335131899,3.204565098222804,0.0013482447435910476,0.049223236915664687,3.2383349258937986,0.0013539138546909046,0.05484905865205881,3.236278921919624
200,exp,3,8,2,2446.2775890306957,0.0026501594290331055,0.04318529978112702,0.0018929631056198981,0.04797992279806204,3.05176515443924,0.001977670586734043,0.05414415506463394,3.030456820690987,0.0026012917215692036,0.07876042881626634,2.8970428844427163,0.005266352403298743,0.12673099870600754,2.5537200331012126
200,exp,3,8,3,3106.0764557663283,0.0424976778182304,0.18951439270343412,0.0004118101730969984,0.03929152256230395,3.739359276072537,0.0010461965131642393,0.06392895256913211,3.2920943871895263,0.005294737859500832,0.13227593728484402,2.5142102490184457,0.017958149304915273,0.21750314264975887,1.9283187646054691
200,cos,1,8,1,3088.1447144122826,0.0008864623157035168,0.028930185622986174,8.437395037359328e-06,0.00526303455018725,5.6063779631662864,1.676784753811681e-05,0.00812898739012114,5.276800301894783,7.539983467856054e-05,0.016651794774882805,4.5553742685764815,0.000289182098648509,0.03074212413710365,3.9102927648369668
200,cos,1,8,2,3854.8662075027005,0.001373406092838167,0.03125706421396617,1.0414843595222978e-07,0.0005952970016516412,7.615773178216036,3.912417197804691e-07,0.0010651380974779647,6.988836642324437,1.908370473027544e-06,0.0024547410141020393,6.238185262049073,3.0096350210787226e-06,0.0028105614334069245,6.022385420239793
