zone,family,center,cI,Q,zero_count_zone,zero_min,zero_max,E,S,Beff,zeros_used,J_max,J_0,J_1,J_2,J_3,J_4,tail_drift,reg_drift,classification
2118.308694211159,zero_ordinate,2083.779992550168,0.1,7.641938827506789,101,2064.304867699634,2172.250962827517,43711268.055423684,7133.460789779594,-8.650999359891573,55,41129327.27918793,-7133.460789778233,-7.361220788674193,342755.29881976044,-15.165286775052099,-41129327.27918793,7.098735856142309e-08,43.48542971709205,healthy_proxy
2118.308694211159,zero_ordinate,2083.779992550168,0.2,7.641938827506789,101,2064.304867699634,2172.250962827517,30312430.427009057,7133.460789779594,-8.47100388198448,55,41129327.27918793,-7133.460789778233,-7.361220788674193,342755.29881976044,-15.165286775052099,-41129327.27918793,8.226005383091456e-08,32.43130981142828,healthy_proxy
2118.308694211159,zero_ordinate,2083.779992550168,0.5,7.641938827506789,101,2064.304867699634,2172.250962827517,13220012.194831448,7133.460789779594,-8.062956495205574,55,41129327.27918793,-7133.460789778233,-7.361220788674193,342755.29881976044,-15.165286775052099,-41129327.27918793,6.326616495053569e-08,34.959911279462816,healthy_proxy
2118.308694211159,zero_ordinate,2083.779992550168,1.0,7.641938827506789,101,2064.304867699634,2172.250962827517,7428101.436696548,7133.460789779594,-7.7794951933812015,55,41129327.27918793,-7133.460789778233,-7.361220788674193,342755.29881976044,-15.165286775052099,-41129327.27918793,1.750163809904002e-08,31.340428486672305,healthy_proxy
2118.308694211159,zero_ordinate,2085.389813692286,0.1,7.6427110777613665,101,2064.304867699634,2172.250962827517,43827371.9487273,7142.395845139003,-8.651873830900007,56,41141824.893740095,-7142.395845137642,0.06603727834692637,342849.57705429336,0.02658350965827749,-41141824.893740095,7.118736564727509e-08,43.401381802749256,healthy_proxy
2118.308694211159,zero_ordinate,2085.389813692286,0.2,7.6427110777613665,101,2064.304867699634,2172.250962827517,30403173.202974357,7142.395845139003,-8.472052743000384,56,41141824.893740095,-7142.395845137642,0.06603727834692637,342849.57705429336,0.02658350965827749,-41141824.893740095,8.248552971793147e-08,32.356707015119646,healthy_proxy
2118.308694211159,zero_ordinate,2085.389813692286,0.5,7.6427110777613665,101,2064.304867699634,2172.250962827517,13251505.349278102,7142.395845139003,-8.063725834516076,56,41141824.893740095,-7142.395845137642,0.06603727834692637,342849.57705429336,0.02658350965827749,-41141824.893740095,6.365286856000268e-08,34.89714259490459,healthy_proxy
2118.308694211159,zero_ordinate,2085.389813692286,1.0,7.6427110777613665,101,2064.304867699634,2172.250962827517,7432532.677618521,7142.395845139003,-7.77940189878406,56,41141824.893740095,-7142.395845137642,0.06603727834692637,342849.57705429336,0.02658350965827749,-41141824.893740095,1.8118469913718443e-08,31.340322998122282,healthy_proxy
2118.308694211159,zero_ordinate,2086.580318534381,0.1,7.643281793675755,101,2064.304867699634,2172.250962827517,43839960.66601091,7143.462578416254,-8.651697386368712,58,41151042.162318565,-7143.462578414895,0.2710594398033307,342926.6352199665,0.1916850822999804,-41151042.162318565,6.152687771381676e-08,43.407999013528496,healthy_proxy
2118.308694211159,zero_ordinate,2086.580318534381,0.2,7.643281793675755,101,2064.304867699634,2172.250962827517,30411120.76266747,7143.462578416254,-8.4718702045891,58,41151042.162318565,-7143.462578414895,0.2710594398033307,342926.6352199665,0.1916850822999804,-41151042.162318565,7.129219679691776e-08,32.362555611317916,healthy_proxy
2118.308694211159,zero_ordinate,2086.580318534381,0.5,7.643281793675755,101,2064.304867699634,2172.250962827517,13255554.691599755,7143.462578416254,-8.06357999951641,58,41151042.162318565,-7143.462578414895,0.2710594398033307,342926.6352199665,0.1916850822999804,-41151042.162318565,5.50017148125833e-08,34.90217166960797,healthy_proxy
2118.308694211159,zero_ordinate,2086.580318534381,1.0,7.643281793675755,101,2064.304867699634,2172.250962827517,7435648.049451659,7143.462578416254,-7.779322326677737,58,41151042.162318565,-7143.462578414895,0.2710594398033307,342926.6352199665,0.1916850822999804,-41151042.162318565,1.5628890243671717e-08,31.341258959373963,healthy_proxy
2118.308694211159,zero_ordinate,2087.473340987858,0.1,7.6437096858592035,101,2064.304867699634,2172.250962827517,43854987.51515941,7144.685002848219,-8.651627753436113,59,41157953.74268989,-7144.685002846858,-0.2853128531849779,342984.2230121109,-0.19892288423490448,-41157953.74268989,6.50771189126165e-08,43.407718368977896,healthy_proxy
2118.308694211159,zero_ordinate,2087.473340987858,0.2,7.6437096858592035,101,2064.304867699634,2172.250962827517,30421577.93318484,7144.685002848219,-8.471806059004896,59,41157953.74268989,-7144.685002846858,-0.2853128531849779,342984.2230121109,-0.19892288423490448,-41157953.74268989,7.54059349401372e-08,32.362307608865116,healthy_proxy
2118.308694211159,zero_ordinate,2087.473340987858,0.5,7.6437096858592035,101,2064.304867699634,2172.250962827517,13260088.002827723,7144.685002848219,-8.063526174321117,59,41157953.74268989,-7144.685002846858,-0.2853128531849779,342984.2230121109,-0.19892288423490448,-41157953.74268989,5.8175895286175786e-08,34.901958249505974,healthy_proxy
2118.308694211159,zero_ordinate,2087.473340987858,1.0,7.6437096858592035,101,2064.304867699634,2172.250962827517,7438155.548864828,7144.685002848219,-7.7792739826881165,59,41157953.74268989,-7144.685002846858,-0.2853128531849779,342984.2230121109,-0.19892288423490448,-41157953.74268989,1.653089181048253e-08,31.34121757552398,healthy_proxy
2118.308694211159,zero_ordinate,2088.712281198733,0.1,7.644303021672938,101,2064.304867699634,2172.250962827517,43881266.75125065,7146.7912703040765,-8.651592109855056,59,41167539.26894444,-7146.791270302712,-0.009426468574814833,343063.87457260967,-0.00663428196621555,-41167539.26894444,6.577823446133858e-08,43.4022337584212,healthy_proxy
2118.308694211159,zero_ordinate,2088.712281198733,0.2,7.644303021672938,101,2064.304867699634,2172.250962827517,30440459.82717513,7146.7912703040765,-8.471787814474284,59,41167539.26894444,-7146.791270302712,-0.009426468574814833,343063.87457260967,-0.00663428196621555,-41167539.26894444,7.621795503454817e-08,32.357459037073134,healthy_proxy
