B_eff,Delta,E_I,J_max,J_rms,Q,R_jet,S_I,W_abs,W_factor_equiv,c_I,center_type,eps,kappa,local_zero_count,m0,nquad,quad_drift_rel,status,tail_drift_rel,tail_edge
7.249184266181017,0.00875847355016087,0.0004987840743532619,0.022332082803812117,0.009987216180077483,2.854378660484831,4,0.022357302215291905,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,257,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,0.022332082803812117,0.009987216180077483,2.854378660484831,4,0.022357303174607056,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,513,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,0.022332082803812117,0.009987216180077483,2.854378660484831,4,0.02235730341607787,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,1025,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,469753.62809588615,156584.69473414603,2.854378660484831,8,0.022357302215291905,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,257,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,469753.62809588615,156584.69473414603,2.854378660484831,8,0.022357303174607056,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,513,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,469753.62809588615,156584.69473414603,2.854378660484831,8,0.02235730341607787,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,1025,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,1.5837188401003594e+18,4.392446433205394e+17,2.854378660484831,12,0.022357302215291905,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,257,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,1.5837188401003594e+18,4.392446433205394e+17,2.854378660484831,12,0.022357303174607056,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,513,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,1.5837188401003594e+18,4.392446433205394e+17,2.854378660484831,12,0.02235730341607787,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,1025,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,1.4476580129493284e+29,3.521845049618394e+28,2.854378660484831,16,0.022357302215291905,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,257,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,1.4476580129493284e+29,3.521845049618394e+28,2.854378660484831,16,0.022357303174607056,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,513,2.1736904368715317e-16,watch,0.0004670533232367634,False
7.249184266181017,0.00875847355016087,0.0004987840743532619,1.4476580129493284e+29,3.521845049618394e+28,2.854378660484831,16,0.02235730341607787,20.0,57.087573209696615,0.025,watch_center,0.02189618387540217,0.0625,17,109.099,1025,2.1736904368715317e-16,watch,0.0004670533232367634,False
