center_type,m0,Q,c_I,Delta,kappa,eps,W_abs,W_factor_equiv,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,tail_edge,status
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,257,4,42,9.844752729632225e-05,0.009927898507893952,23.364215199382937,0.009920845060396649,0.0044367382682957476,7.460171369212555e-06,1.3766244341796783e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,513,4,42,9.844752729632225e-05,0.009927898858401013,23.364215199382937,0.009920845060396649,0.0044367382682957476,7.460171369212555e-06,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,1025,4,42,9.844752729632226e-05,0.009927898946628462,23.364215199382937,0.009920845060396649,0.0044367382682957476,7.460171369074894e-06,2.753248868359356e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,257,8,42,9.844752729632225e-05,0.009927898507893952,23.364215199382937,397455.87509379647,132485.29679343675,7.460171369212555e-06,1.3766244341796783e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,513,8,42,9.844752729632225e-05,0.009927898858401013,23.364215199382937,397455.87509379647,132485.29679343675,7.460171369212555e-06,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,1025,8,42,9.844752729632226e-05,0.009927898946628462,23.364215199382937,397455.87509379647,132485.29679343675,7.460171369074894e-06,2.753248868359356e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,257,12,42,9.844752729632225e-05,0.009927898507893952,23.364215199382937,1.410154932884009e+18,3.911066089988994e+17,7.460171369212555e-06,1.3766244341796783e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,513,12,42,9.844752729632225e-05,0.009927898858401013,23.364215199382937,1.410154932884009e+18,3.911066089988994e+17,7.460171369212555e-06,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.125,0.0842203790027161,50.0,74.21006737334247,257,4,20,0.0003919478550603145,0.01980929201128676,19.86538956762311,0.019795229957823367,0.00885269890160809,4.790090034592376e-05,1.3830949174586797e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.125,0.0842203790027161,50.0,74.21006737334247,513,4,20,0.0003919478550603145,0.019809292709628966,19.86538956762311,0.019795229957823367,0.00885269890160809,4.790090034564717e-05,1.3830949174586797e-16,True,reject_tail_edge
