zone,family,center,cI,Q,zero_count_zone,zero_min,zero_max,E,S,Beff,zeros_used,J_max,J_0,J_1,J_2,J_3,J_4,tail_drift,reg_drift,classification,param_hash
2118.308694211159,zero_ordinate,2112.907087523191,0.2,7.655820044819259,22,2107.172362432443,2129.406080228328,30683031.013946887,7176.00513192774,-8.469421284441536,22,41353883.95444905,-7176.00513192637,3.029786316047927,344620.07087762357,4.377711903802678,-41353883.95444905,3.692419520844816e-08,32.39177154777973,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2113.483966448431,0.2,7.656093033722299,22,2107.172362432443,2129.406080228328,30684495.660122387,7176.295601122383,-8.469296371226616,22,41358307.671950124,-7176.295601121015,-2.6855717358947198,344657.1485690294,-4.180572655718557,-41358307.671950124,3.0557004636833167e-08,32.39698514687423,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2114.39613732589,0.2,7.656524536446701,22,2107.172362432443,2129.406080228328,30727891.884730306,7180.587596008954,-8.469756171858954,22,41365307.71937362,-7180.587596007587,-0.22221276506065618,344712.189791277,-0.14746951757675222,-41365307.71937362,2.784213641777426e-08,32.36331399376913,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2115.506602794684,0.2,7.65704959130613,22,2107.172362432443,2129.406080228328,30745841.501654636,7182.560761930444,-8.46975773088005,22,41373818.49424029,-7182.560761929081,-0.08368097699487285,344782.89660024847,-0.03907777970719281,-41373818.49424029,4.0892070912781295e-08,32.35790754910983,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2116.900056068394,0.2,7.657708059849619,22,2107.172362432443,2129.406080228328,30755291.347736094,7183.814620864839,-8.469550914020102,22,41384492.90925301,-7183.814620863472,0.5017646018830069,344872.19957531465,0.3803784291381277,-41384492.90925301,2.5645747315159032e-08,32.36444387107334,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2117.722399441363,0.2,7.658096450263143,22,2107.172362432443,2129.406080228328,30759374.827691566,7184.414708171769,-8.469405125544755,22,41390789.91590853,-7184.414708170393,-0.1732316920447567,344924.9071162756,-0.17178804665942604,-41390789.91590853,4.0502592892298776e-08,32.369819969226825,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2118.618646217029,0.2,7.658519573321168,22,2107.172362432443,2129.406080228328,30770169.60650858,7185.661253055056,-8.469347627704657,22,41397651.087010704,-7185.661253053689,0.12757701202367464,344982.04081252386,0.12519963405241583,-41397651.087010704,4.013142388756658e-08,32.36921288335848,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2119.45642846894,0.2,7.658914933123937,22,2107.172362432443,2129.406080228328,30784442.371209905,7187.216917378462,-8.469360662342002,22,41404062.89076924,-7187.216917377097,-0.42465848446363835,345035.2581224009,-0.32031196496177444,-41404062.89076924,2.3991804840345835e-08,32.36438638326825,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2120.691562591844,0.2,7.659497523241283,22,2107.172362432443,2129.406080228328,30806659.379014716,7189.619395143311,-8.469398591599637,22,41413512.43579412,-7189.6193951419455,-0.0631381342018372,345113.63214737934,-0.02193345741184632,-41413512.43579412,2.60903500673035e-08,32.356081717020004,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2122.465151174928,0.2,7.660333499287428,22,2107.172362432443,2129.406080228328,30821663.02571829,7191.490730992842,-8.46918375824534,22,41427073.55073588,-7191.490730991473,0.375977728659739,345226.8867170072,0.24440396797889816,-41427073.55073588,2.228303321317923e-08,32.361342350401024,healthy_proxy,f070d577c400
2118.308694211159,zero_ordinate,2123.344042303463,0.2,7.6607475033564,22,2107.172362432443,2129.406080228328,30828417.56861963,7192.35410019379,-8.469066583332287,22,41433790.620316505,-7192.354100192421,-0.1989851775438862,345282.9688814276,-0.1606922057639503,-41433790.620316505,2.855886365421858e-08,32.364637616139156,healthy_proxy,f070d577c400
2118.308694211159,gap_midpoint,2113.195526985811,0.2,7.655956548586146,22,2107.172362432443,2129.406080228328,9647.870471420747,102.6652869777592,-4.507278165594834,22,2118.16507821462,96.0098311979539,0.08094018211321413,324.80677307570056,0.028377569399284937,2118.16507821462,2.383532177511771e-06,0.6770191533312836,healthy_proxy,f070d577c400
2118.308694211159,gap_midpoint,2113.9400518871607,0.2,7.656308808358825,22,2107.172362432443,2129.406080228328,306.90813657110175,17.89701178693106,-2.8132960481484073,22,79.85463210021109,17.344638252295063,-0.14879473045246122,25.857642355387522,-0.07595730634493748,79.85463210021109,1.1676324133505954e-05,1.7120189453952523,healthy_proxy,f070d577c400
2118.308694211159,gap_midpoint,2114.951370060287,0.2,7.656787098336741,22,2107.172362432443,2129.406080228328,65.25351686925231,8.194821817724867,-2.052611233136814,22,17.943224271072204,8.022230213686136,-0.02680694442384138,8.300965269595064,-0.0066512175607571855,17.943224271072204,2.3939545177795936e-05,2.0654880774184043,healthy_proxy,f070d577c400
2118.308694211159,gap_midpoint,2116.203329431539,0.2,7.657378879775477,22,2107.172362432443,2129.406080228328,11.439343572094083,3.415009861156856,-1.1971777904274425,22,3.367387935508011,3.367387935508011,0.01573746531102234,2.2130699510569998,0.003997288515660383,3.10557205932032,3.416682485976256e-05,2.384275324613735,healthy_proxy,f070d577c400
2118.308694211159,gap_midpoint,2117.3112277548785,0.2,7.657902273912271,22,2107.172362432443,2129.406080228328,662.533693685479,26.375357658401022,-3.191015308674303,22,172.35990738120617,25.426560869378132,0.04595636419494365,46.40007418245304,0.014451245533559993,172.35990738120617,6.0785724416824655e-06,1.4727038202858453,healthy_proxy,f070d577c400
