N,smoothing,level,R,best_t0,best_objective,E_cI_0.5,S_cI_0.5,Beff_cI_0.5,J_max,proxy_zero_count,proxy_zero_min,proxy_zero_max,zero_proxy_E,zero_proxy_S,zero_proxy_Beff,zero_proxy_zeros_used
500,cos,3,8,3250.162281080102,0.00043334959700798583,0.0016188143152135763,0.08043676326034295,3.0743893954383035,0.013990669648477701,89,3205.4984360854155,3293.9757459070593,10508.72869202258,196.0303615947171,-4.430198543761598,81
350,cos,1,8,3486.5741891707935,0.0005955135155488265,6.156626138878357e-05,0.009233911495145413,4.6194146491376165,0.014728397422184526,90,3442.6830311432227,3531.1975685878083,19326651.694652326,8681.508153606193,-7.993473912026272,80
200,cos,1,8,3088.1447144122826,0.0008864623157035168,7.539983467856054e-05,0.016651794774882805,4.5553742685764815,0.028930185622986174,89,3043.674370797037,3132.698387390975,10228484.597398046,8300.42646782821,-7.745617979819812,79
200,cos,3,8,2113.995522236109,0.0008904989463476557,0.0024180110728932416,0.08645973307404178,2.959818738416881,0.01629971980977897,83,2070.5057885258566,2158.878370143323,463.76488490605146,31.07727764763968,-3.016102640168168,74
200,cos,2,8,2113.994793702702,0.0009121392958385763,0.002426334892599914,0.08693088013416611,2.958130542393531,0.016468765377052493,83,2070.5058607912147,2158.87835716626,460.30530869850435,30.879312181870947,-3.012424198585255,74
200,sharp,2,8,3105.6383747282825,0.0009671482425282627,0.00016387211790180333,0.023986635822069332,4.181441072111756,0.017359937101171976,89,3061.064705410946,3149.7704117308986,12069.347006009208,222.7553676765702,-4.508609964040167,79
