zone,family,center,cI,Q,zero_count_zone,zero_min,zero_max,E,S,Beff,zeros_used,J_max,J_0,J_1,J_2,J_3,J_4,tail_drift,reg_drift,classification,param_hash
2118.308694211159,zero_ordinate,2112.907087523191,0.2,7.655820044819259,22,2107.172362432443,2129.406080228328,30683031.013946887,7176.00513192774,-8.469421284441536,22,41353883.95444905,-7176.00513192637,3.029786316047927,344620.07087762357,4.377711903802678,-41353883.95444905,3.692419520844816e-08,32.39177154777973,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2112.907087523191,0.5,7.655820044819259,22,2107.172362432443,2129.406080228328,13377189.450690927,7176.00513192774,-8.061574271141708,22,41353883.95444905,-7176.00513192637,3.029786316047927,344620.07087762357,4.377711903802678,-41353883.95444905,2.844972152393306e-08,34.92693071029644,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2113.483966448431,0.2,7.656093033722299,22,2107.172362432443,2129.406080228328,30684495.660122387,7176.295601122383,-8.469296371226616,22,41358307.671950124,-7176.295601121015,-2.6855717358947198,344657.1485690294,-4.180572655718557,-41358307.671950124,3.0557004636833167e-08,32.39698514687423,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2113.483966448431,0.5,7.656093033722299,22,2107.172362432443,2129.406080228328,13378355.80032983,7176.295601122383,-8.061475884394763,22,41358307.671950124,-7176.295601121015,-2.6855717358947198,344657.1485690294,-4.180572655718557,-41358307.671950124,2.3538987271290918e-08,34.93140763178087,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2114.39613732589,0.2,7.656524536446701,22,2107.172362432443,2129.406080228328,30727891.884730306,7180.587596008954,-8.469756171858954,22,41365307.71937362,-7180.587596007587,-0.22221276506065618,344712.189791277,-0.14746951757675222,-41365307.71937362,2.784213641777426e-08,32.36331399376913,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2114.39613732589,0.5,7.656524536446701,22,2107.172362432443,2129.406080228328,13393702.514347054,7180.587596008954,-8.061815906623096,22,41365307.71937362,-7180.587596007587,-0.22221276506065618,344712.189791277,-0.14746951757675222,-41365307.71937362,2.1479283264969043e-08,34.90282934419075,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2115.506602794684,0.2,7.65704959130613,22,2107.172362432443,2129.406080228328,30745841.501654636,7182.560761930444,-8.46975773088005,22,41373818.49424029,-7182.560761929081,-0.08368097699487285,344782.89660024847,-0.03907777970719281,-41373818.49424029,4.0892070912781295e-08,32.35790754910983,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2115.506602794684,0.5,7.65704959130613,22,2107.172362432443,2129.406080228328,13400980.478636108,7182.560761930444,-8.06181119565789,22,41373818.49424029,-7182.560761929081,-0.08368097699487285,344782.89660024847,-0.03907777970719281,-41373818.49424029,3.1553708743686754e-08,34.89817819421357,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2116.900056068394,0.2,7.657708059849619,22,2107.172362432443,2129.406080228328,30755291.347736094,7183.814620864839,-8.469550914020102,22,41384492.90925301,-7183.814620863472,0.5017646018830069,344872.19957531465,0.3803784291381277,-41384492.90925301,2.5645747315159032e-08,32.36444387107334,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2116.900056068394,0.5,7.657708059849619,22,2107.172362432443,2129.406080228328,13405767.04826112,7183.814620864839,-8.06164607930561,22,41384492.90925301,-7183.814620863472,0.5017646018830069,344872.19957531465,0.3803784291381277,-41384492.90925301,1.978358682533092e-08,34.90378516913249,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2117.722399441363,0.2,7.658096450263143,22,2107.172362432443,2129.406080228328,30759374.827691566,7184.414708171769,-8.469405125544755,22,41390789.91590853,-7184.414708170393,-0.1732316920447567,344924.9071162756,-0.17178804665942604,-41390789.91590853,4.0502592892298776e-08,32.369819969226825,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2117.722399441363,0.5,7.658096450263143,22,2107.172362432443,2129.406080228328,13408091.88289437,7184.414708171769,-8.061530416613566,22,41390789.91590853,-7184.414708170393,-0.1732316920447567,344924.9071162756,-0.17178804665942604,-41390789.91590853,3.123722903954142e-08,34.908405707270504,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2118.618646217029,0.2,7.658519573321168,22,2107.172362432443,2129.406080228328,30770169.60650858,7185.661253055056,-8.469347627704657,22,41397651.087010704,-7185.661253053689,0.12757701202367464,344982.04081252386,0.12519963405241583,-41397651.087010704,4.013142388756658e-08,32.36921288335848,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2118.618646217029,0.5,7.658519573321168,22,2107.172362432443,2129.406080228328,13412734.346965097,7185.661253055056,-8.061481680618689,22,41397651.087010704,-7185.661253053689,0.12757701202367464,344982.04081252386,0.12519963405241583,-41397651.087010704,3.095180016029509e-08,34.90788709149824,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2119.45642846894,0.2,7.658914933123937,22,2107.172362432443,2129.406080228328,30784442.371209905,7187.216917378462,-8.469360662342002,22,41404062.89076924,-7187.216917377097,-0.42465848446363835,345035.2581224009,-0.32031196496177444,-41404062.89076924,2.3991804840345835e-08,32.36438638326825,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2119.45642846894,0.5,7.658914933123937,22,2107.172362432443,2129.406080228328,13418465.734418489,7187.216917378462,-8.061487116496027,22,41404062.89076924,-7187.216917377097,-0.42465848446363835,345035.2581224009,-0.32031196496177444,-41404062.89076924,1.850783513340044e-08,34.903739996602766,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2120.691562591844,0.2,7.659497523241283,22,2107.172362432443,2129.406080228328,30806659.379014716,7189.619395143311,-8.469398591599637,22,41413512.43579412,-7189.6193951419455,-0.0631381342018372,345113.63214737934,-0.02193345741184632,-41413512.43579412,2.60903500673035e-08,32.356081717020004,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2120.691562591844,0.5,7.659497523241283,22,2107.172362432443,2129.406080228328,13427306.227673395,7189.619395143311,-8.061509427618947,22,41413512.43579412,-7189.6193951419455,-0.0631381342018372,345113.63214737934,-0.02193345741184632,-41413512.43579412,2.013391001995442e-08,34.896602563916886,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2122.465151174928,0.2,7.660333499287428,22,2107.172362432443,2129.406080228328,30821663.02571829,7191.490730992842,-8.46918375824534,22,41427073.55073588,-7191.490730991473,0.375977728659739,345226.8867170072,0.24440396797889816,-41427073.55073588,2.228303321317923e-08,32.361342350401024,healthy_proxy,ab7829ad44a9
2118.308694211159,zero_ordinate,2122.465151174928,0.5,7.660333499287428,22,2107.172362432443,2129.406080228328,13434380.921530992,7191.490730992842,-8.061336026259404,22,41427073.55073588,-7191.490730991473,0.375977728659739,345226.8867170072,0.24440396797889816,-41427073.55073588,1.719213515672912e-08,34.901122589709686,healthy_proxy,ab7829ad44a9
